count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
328        0.02180706070075128    9483.805555556424      5          4    4    4    4    1    2    3    5    5    
3566       0.23708530017950935    9422.666666666868      4          2    2    2    2    3    3    1    4    4    
5829       0.387540722026461      6185.611111111147      3          1    1    1    1    2    2    3    3    3    
2197       0.14606741573033707    4631.249999999847      4          1    1    2    2    3    3    4    4    4    
294        0.019546572701283158   2463.0833333332434     6          4    4    5    5    1    2    3    6    6    
1910       0.1269862376171797     2282.722222222216      5          2    2    3    3    4    4    1    5    5    
280        0.01861578352503158    293.75000000000006     4          3    3    3    3    1    2    4    4    4    
160        0.010637590585732331   257.3611111111113      5          3    3    4    4    1    2    5    5    5    
81         0.005385280234026993   195.86111111111143     6          4    4    1    2    5    5    3    6    6    
39         0.0025929127052722557  156.05555555555569     6          4    4    5    5    6    6    1    2    3    
60         0.003989096469649624   113.38888888888889     5          3    3    1    2    4    4    5    5    5    
98         0.006515524233761053   98.0                   2          1    1    1    1    2    2    2    2    2    
11         7.313343527690978E-4   73.16666666666667      6          6    6    6    6    1    2    3    4    5    
62         0.004122066351971278   73.11111111111111      5          4    4    4    4    5    5    1    2    3    
16         0.0010637590585732331  36.749999999999986     7          6    6    7    7    1    2    3    4    5    
16         0.0010637590585732331  35.44444444444444      7          6    6    1    2    3    4    5    7    7    
15         9.97274117412406E-4    32.80555555555554      4          2    2    1    2    3    3    4    4    4    
2          1.3296988232165414E-4  23.13888888888889      6          1    2    4    4    5    5    3    6    6    
13         8.64304235090752E-4    22.25                  4          2    2    2    1    3    3    4    4    4    
16         0.0010637590585732331  16.0                   3          1    1    2    2    3    3    3    3    3    
10         6.648494116082707E-4   13.666666666666666     5          3    3    1    3    4    4    2    5    5    
10         6.648494116082707E-4   10.0                   3          1    1    1    1    2    2    2    3    3    
5          3.3242470580413535E-4  9.694444444444445      6          5    5    1    2    3    4    6    6    6    
5          3.3242470580413535E-4  6.833333333333333      4          1    1    2    2    3    3    3    4    4    
3          1.994548234824812E-4   4.888888888888889      5          3    3    3    1    4    4    2    5    5    
1          6.648494116082707E-5   4.777777777777778      5          1    2    3    3    4    4    5    5    5    
1          6.648494116082707E-5   3.8055555555555554     7          6    6    1    2    7    7    3    4    5    
1          6.648494116082707E-5   2.888888888888889      5          1    3    3    3    4    4    2    5    5    
1          6.648494116082707E-5   2.888888888888889      6          5    5    1    5    2    3    6    6    4    
1          6.648494116082707E-5   2.861111111111111      5          2    2    3    3    4    4    5    1    5    
1          6.648494116082707E-5   2.8611111111111107     6          1    2    5    5    3    4    6    6    6    
2          1.3296988232165414E-4  2.0                    5          4    4    1    4    2    3    5    5    5    
1          6.648494116082707E-5   1.9444444444444444     4          2    2    2    2    3    3    4    4    1    
1          6.648494116082707E-5   1.9166666666666665     5          2    2    3    3    4    4    5    5    1    
1          6.648494116082707E-5   1.0                    6          5    5    5    1    2    3    4    6    6    
1          6.648494116082707E-5   1.0                    8          1    2    8    8    3    4    5    6    7    
1          6.648494116082707E-5   1.0                    3          2    2    2    2    3    3    1    3    3    
1          6.648494116082707E-5   1.0                    6          1    2    3    4    5    5    6    6    6    
1          6.648494116082707E-5   1.0                    4          2    2    2    2    3    3    4    1    4    

