count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
5659       0.3762382820291204     14386.027777779951     9          1    2    3    4    5    6    7    8    9    
3593       0.23888039359085167    8932.166666667126      8          8    8    1    2    3    4    5    6    7    
451        0.02998470846353301    5198.361111111011      7          6    6    7    7    1    2    3    4    5    
459        0.030516587992819626   4884.277777777679      6          4    4    5    5    1    2    3    6    6    
1494       0.09932850209427564    4579.916666666611      8          1    2    3    4    5    6    7    8    8    
1777       0.1181437404427897     3210.9166666665974     7          6    6    1    2    3    4    5    7    7    
19         0.0012632138820557143  3045.277777777656      7          1    2    6    6    7    7    3    4    5    
217        0.014427232231899475   1210.055555555544      7          1    2    6    6    3    4    5    7    7    
27         0.001795093411342331   1052.666666666657      7          6    6    1    2    3    4    7    7    5    
136        0.009041951997872482   1047.1111111110986     7          6    6    1    2    7    7    3    4    5    
406        0.026992886111295793   769.3611111111117      8          1    2    8    8    3    4    5    6    7    
165        0.010970015291536466   537.4166666666692      6          4    4    1    2    5    5    3    6    6    
88         0.005850674822152783   375.6388888888902      6          5    5    1    2    3    4    6    6    6    
24         0.0015956385878598497  361.3055555555577      6          1    2    4    4    5    5    3    6    6    
94         0.0062495844691177445  344.7222222222234      5          2    2    3    3    4    4    1    5    5    
64         0.0042550362342929325  338.77777777777897     7          1    2    3    4    5    6    7    7    7    
3          1.994548234824812E-4   254.08333333333394     6          4    4    1    2    5    5    6    6    3    
96         0.006382554351439399   230.4166666666672      8          1    2    3    4    8    8    5    6    7    
19         0.0012632138820557143  215.75000000000034     8          1    2    3    4    5    6    8    8    7    
36         0.0023934578817897748  202.97222222222217     5          3    3    4    4    1    2    5    5    5    
63         0.004188551293132106   142.08333333333346     7          1    2    3    4    6    6    5    7    7    
2          1.3296988232165414E-4  107.80555555555554     6          4    4    5    5    1    2    6    3    6    
26         0.001728608470181504   104.58333333333343     4          1    1    2    2    3    3    4    4    4    
6          3.989096469649624E-4   102.02777777777776     6          4    4    5    5    1    2    6    6    3    
46         0.003058307293398045   62.58333333333332      6          4    4    5    5    6    6    1    2    3    
12         7.978192939299248E-4   43.52777777777776      6          1    2    5    5    3    4    6    6    6    
1          6.648494116082707E-5   38.749999999999964     7          1    2    6    6    3    4    7    5    7    
17         0.0011302439997340603  34.72222222222222      5          3    3    1    2    4    4    5    5    5    
1          6.648494116082707E-5   23.13888888888889      5          2    2    3    3    4    4    5    5    1    
10         6.648494116082707E-4   22.305555555555554     7          6    6    1    2    3    4    7    5    7    
1          6.648494116082707E-5   14.111111111111112     8          1    8    8    2    3    4    5    6    7    
4          2.659397646433083E-4   13.22222222222222      6          1    2    3    4    5    5    6    6    6    
3          1.994548234824812E-4   12.416666666666666     5          1    2    3    3    4    4    5    5    5    
1          6.648494116082707E-5   12.055555555555554     7          6    1    6    2    3    4    5    7    7    
2          1.3296988232165414E-4  11.499999999999996     7          1    2    3    4    6    6    7    5    7    
1          6.648494116082707E-5   11.277777777777779     8          8    1    2    8    3    4    5    6    7    
6          3.989096469649624E-4   8.75                   8          1    2    3    4    5    6    8    7    8    
3          1.994548234824812E-4   3.9722222222222223     7          1    2    6    6    3    4    7    7    5    
3          1.994548234824812E-4   3.9444444444444446     7          7    7    7    1    2    3    4    5    6    
1          6.648494116082707E-5   3.7499999999999996     7          7    1    7    7    2    3    4    5    6    
2          1.3296988232165414E-4  2.0                    5          3    3    1    3    4    4    2    5    5    
1          6.648494116082707E-5   1.9444444444444444     6          4    1    4    2    5    5    3    6    6    
1          6.648494116082707E-5   1.0                    5          3    3    3    1    4    4    2    5    5    
1          6.648494116082707E-5   1.0                    6          1    2    4    4    5    5    6    6    3    

