count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
6922       0.48633457458020096    13887.638888890633     5          2    2    3    3    4    4    1    5    5    
1405       0.09871425560317572    6947.277777777721      6          4    4    5    5    6    6    1    2    3    
1886       0.13250895805522378    5425.999999999987      6          4    4    5    5    1    2    3    6    6    
254        0.0178458511908944     5205.7222222220125     6          1    2    4    4    5    5    3    6    6    
799        0.05613714606899459    3496.7499999998413     7          6    6    7    7    1    2    3    4    5    
363        0.025504110166514438   2839.749999999875      8          8    8    1    2    3    4    5    6    7    
1121       0.07876062671256938    2464.972222222179      6          4    4    1    2    5    5    3    6    6    
570        0.040047776294526806   1343.2777777777662     7          6    6    1    2    3    4    5    7    7    
85         0.005972036815850488   865.3333333333379      7          1    2    3    4    6    6    5    7    7    
57         0.00400477762945268    787.1944444444483      9          1    2    3    4    5    6    7    8    9    
390        0.02740111009625518    638.6666666666671      7          6    6    1    2    7    7    3    4    5    
113        0.007939296002248296   365.8055555555569      7          1    2    6    6    3    4    5    7    7    
90         0.006323333099135811   257.3611111111114      7          1    2    6    6    7    7    3    4    5    
42         0.002950888779596712   167.6111111111114      8          1    2    3    4    8    8    5    6    7    
83         0.005831518302536359   130.22222222222217     8          1    2    8    8    3    4    5    6    7    
50         0.0035129628328532283  50.0                   8          1    2    3    4    5    6    7    8    8    
2          1.4051851331412914E-4  2.9722222222222223     4          1    1    2    2    3    3    4    4    4    
1          7.025925665706457E-5   1.0                    5          3    3    1    2    4    4    5    5    5    

