count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
7324       0.5091060753510357     11739.555555556548     5          2    2    3    3    4    4    1    5    5    
275        0.01911580703461699    4209.111111110937      7          6    6    7    7    1    2    3    4    5    
1923       0.13367162519115808    4084.8055555554038     6          4    4    5    5    1    2    3    6    6    
2061       0.14326428472125677    2522.3055555555397     4          2    2    2    2    3    3    1    4    4    
656        0.045599888780759074   2276.6111111110454     6          4    4    1    2    5    5    3    6    6    
228        0.015848741832336994   1526.9722222222056     6          1    2    4    4    5    5    3    6    6    
312        0.02168775198109273    1362.6944444444432     7          6    6    1    2    3    4    5    7    7    
646        0.04490476852495482    1027.1388888888835     6          4    4    5    5    6    6    1    2    3    
55         0.0038231614069233976  426.2222222222251      7          1    2    3    4    6    6    5    7    7    
28         0.0019463367162519116  400.6388888888912      8          1    2    3    4    5    6    7    8    8    
11         7.646322813846796E-4   399.38888888889124     8          1    2    3    4    8    8    5    6    7    
84         0.005839010148755735   358.3888888888911      5          4    4    4    4    5    5    1    2    3    
24         0.00166828861393021    351.02777777777925     8          1    2    8    8    3    4    5    6    7    
14         9.731683581259558E-4   327.02777777778005     9          1    2    3    4    5    6    7    8    9    
250        0.017378006395106352   300.19444444444457     5          4    4    4    4    1    2    3    5    5    
91         0.006325594327818713   258.97222222222234     7          6    6    1    2    7    7    3    4    5    
93         0.006464618378979563   213.972222222222       7          1    2    6    6    3    4    5    7    7    
56         0.0038926734325038233  97.30555555555559      8          8    8    1    2    3    4    5    6    7    
47         0.0032670652022799944  71.69444444444444      5          3    3    3    1    4    4    2    5    5    
25         0.0017378006395106353  63.61111111111107      7          1    2    6    6    7    7    3    4    5    
39         0.002710968997636591   51.08333333333332      5          3    3    1    3    4    4    2    5    5    
2          1.3902405116085083E-4  44.52777777777775      6          5    5    1    5    6    6    2    3    4    
29         0.002015848741832337   35.80555555555555      4          1    1    2    2    3    3    4    4    4    
29         0.002015848741832337   30.833333333333332     6          6    6    6    6    1    2    3    4    5    
13         9.036563325455304E-4   29.916666666666664     5          3    1    3    3    4    4    2    5    5    
4          2.7804810232170165E-4  25.38888888888889      5          2    3    2    3    4    4    1    5    5    
4          2.7804810232170165E-4  24.22222222222222      5          2    3    3    2    4    4    1    5    5    
16         0.0011121924092868066  23.666666666666664     5          1    3    3    3    4    4    2    5    5    
13         9.036563325455304E-4   18.61111111111111      6          5    5    5    1    2    3    4    6    6    
1          6.951202558042541E-5   11.111111111111109     8          1    8    8    2    3    4    5    6    7    
3          2.0853607674127625E-4  10.416666666666668     6          1    4    2    4    5    5    3    6    6    
4          2.7804810232170165E-4  9.583333333333334      6          5    1    5    5    2    3    4    6    6    
1          6.951202558042541E-5   6.666666666666667      5          3    3    1    2    4    4    5    5    5    
1          6.951202558042541E-5   6.611111111111112      7          6    1    6    2    3    4    5    7    7    
5          3.4756012790212705E-4  5.944444444444445      5          3    3    4    4    1    2    5    5    5    
1          6.951202558042541E-5   4.888888888888889      7          1    7    7    7    2    3    4    5    6    
2          1.3902405116085083E-4  4.75                   6          5    1    5    5    6    6    2    3    4    
4          2.7804810232170165E-4  4.0                    3          1    1    1    1    2    2    3    3    3    
2          1.3902405116085083E-4  3.888888888888889      6          1    5    5    5    6    6    2    3    4    
2          1.3902405116085083E-4  3.8611111111111107     6          4    1    4    2    5    5    3    6    6    
1          6.951202558042541E-5   3.8333333333333335     7          7    7    7    1    2    3    4    5    6    
2          1.3902405116085083E-4  2.0                    6          1    5    5    5    2    3    4    6    6    
1          6.951202558042541E-5   1.9166666666666665     6          5    5    1    5    2    3    4    6    6    
1          6.951202558042541E-5   1.0                    4          1    1    2    2    3    3    3    4    4    
1          6.951202558042541E-5   1.0                    6          5    5    5    1    6    6    2    3    4    
1          6.951202558042541E-5   1.0                    5          1    2    3    3    4    4    5    5    5    
1          6.951202558042541E-5   1.0                    6          4    1    2    4    5    5    3    6    6    

