count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
7874       0.5473376894202697     7874.0                 2          1    1    1    1    2    2    2    2    2    
5616       0.3903795356596691     6116.583333333292      3          1    1    1    1    2    2    3    3    3    
529        0.03677186153204504    566.7500000000005      4          2    2    2    2    3    3    1    4    4    
284        0.019741415264840818   284.0                  1          1    1    1    1    1    1    1    1    1    
41         0.002849993048797442   41.0                   3          2    2    2    2    3    3    1    3    3    
39         0.002710968997636591   39.0                   3          1    1    1    1    2    2    2    3    3    
2          1.3902405116085083E-4  2.0                    4          1    1    2    2    3    3    4    4    4    
1          6.951202558042541E-5   1.0                    4          3    3    3    3    1    2    4    4    4    

