count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
1140       0.04891654151469642    20971.19444445127      6          4    4    5    5    6    6    1    2    3    
1486       0.06376314095687621    19921.8055555611       8          8    8    1    2    3    4    5    6    7    
2248       0.09645998712722592    18457.000000005275     7          6    6    1    2    3    4    5    7    7    
2447       0.10499892726882643    16151.666666669744     7          6    6    7    7    1    2    3    4    5    
778        0.033383394121433166   15338.305555556799     9          1    2    3    4    5    6    7    8    9    
3613       0.15503110920403346    14252.916666668842     5          2    2    3    3    4    4    1    5    5    
285        0.012229135378674105   13646.555555556824     7          1    2    3    4    6    6    5    7    7    
5083       0.21810770220982623    10653.138888889504     6          4    4    5    5    1    2    3    6    6    
1173       0.05033254666380605    5028.0833333334        7          1    2    6    6    3    4    5    7    7    
543        0.02329972108989487    4375.8611111108585     6          1    2    4    4    5    5    3    6    6    
771        0.033083029392834154   3677.5555555553588     8          1    2    3    4    5    6    7    8    8    
1127       0.048358721304441105   2479.3888888888564     6          4    4    1    2    5    5    3    6    6    
518        0.022226989916326968   1860.9722222222258     7          6    6    1    2    7    7    3    4    5    
833        0.03574340270328256    1390.6388888888769     8          1    2    8    8    3    4    5    6    7    
80         0.0034327397554172923  730.3333333333326      6          5    5    1    2    3    4    6    6    6    
210        0.009010941857970392   685.9444444444431      5          3    3    4    4    1    2    5    5    5    
262        0.011242222698991633   548.750000000001       7          1    2    6    6    7    7    3    4    5    
68         0.0029178287921046986  448.8333333333357      5          3    3    1    2    4    4    5    5    5    
257        0.011027676464278052   383.50000000000097     4          1    1    2    2    3    3    4    4    4    
22         9.440034327397554E-4   362.7500000000013      6          4    4    5    5    1    2    6    6    3    
188        0.008066938425230636   261.8611111111111      8          1    2    3    4    8    8    5    6    7    
40         0.0017163698777086461  113.41666666666679     6          1    2    5    5    3    4    6    6    6    
15         6.436387041407423E-4   79.63888888888883      7          1    2    3    4    5    6    7    7    7    
12         5.149109633125939E-4   76.41666666666663      5          2    2    3    3    4    4    5    1    5    
28         0.0012014589143960524  62.416666666666636     5          1    2    3    3    4    4    5    5    5    
11         4.720017163698777E-4   59.138888888888836     7          6    6    1    2    3    4    7    7    5    
1          4.290924694271615E-5   57.86111111111106      7          1    2    6    6    3    4    7    5    7    
2          8.58184938854323E-5    47.27777777777775      6          1    2    4    4    5    5    6    3    6    
8          3.432739755417292E-4   42.83333333333331      7          1    2    6    6    3    4    7    7    5    
6          2.5745548165629695E-4  39.16666666666665      8          1    2    3    4    5    6    8    8    7    
2          8.58184938854323E-5    35.305555555555536     6          1    2    4    4    5    5    6    6    3    
6          2.5745548165629695E-4  25.33333333333334      6          4    4    5    5    1    2    6    3    6    
17         7.294571980261746E-4   21.805555555555554     5          2    2    3    3    4    4    5    5    1    
5          2.1454623471358077E-4  18.361111111111104     7          6    6    1    2    3    4    7    5    7    
4          1.716369877708646E-4   13.194444444444441     6          4    4    1    2    5    5    6    6    3    
7          3.003647285990131E-4   10.694444444444445     6          1    2    3    4    5    5    6    6    6    
2          8.58184938854323E-5    3.916666666666667      8          1    2    3    4    5    6    8    7    8    
1          4.290924694271615E-5   2.888888888888889      6          4    4    1    2    5    5    6    3    6    
2          8.58184938854323E-5    2.0                    4          1    1    2    2    3    3    3    4    4    
1          4.290924694271615E-5   1.9722222222222223     5          3    3    3    1    4    4    2    5    5    
1          4.290924694271615E-5   1.0                    7          1    2    3    4    6    6    7    5    7    
1          4.290924694271615E-5   1.0                    6          5    5    1    5    6    6    2    3    4    
1          4.290924694271615E-5   1.0                    6          5    5    5    1    2    3    4    6    6    

