count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
14278      0.6477339745043778     21473.527777780335     5          2    2    3    3    4    4    1    5    5    
1629       0.07390101165903008    7105.861111110952      6          1    2    4    4    5    5    3    6    6    
1098       0.04981173161547884    5480.277777777599      6          4    4    5    5    6    6    1    2    3    
389        0.017647325681622285   4341.13888888873       7          1    2    3    4    6    6    5    7    7    
232        0.010524883182869845   3989.6111111109203     7          6    6    1    2    3    4    5    7    7    
92         0.004173660572517352   3875.5833333330684     8          1    2    3    4    5    6    7    8    8    
1623       0.07362881640430069    3843.888888888738      6          4    4    1    2    5    5    3    6    6    
57         0.0025858549199292294  2260.4444444443648     8          8    8    1    2    3    4    5    6    7    
277        0.012566347593340289   2050.9166666666015     7          1    2    6    6    3    4    5    7    7    
183        0.008301955269246472   1988.361111111046      7          6    6    7    7    1    2    3    4    5    
1275       0.05784149162999592    1767.694444444454      6          4    4    5    5    1    2    3    6    6    
77         0.003493172435693871   585.8611111111107      8          1    2    3    4    8    8    5    6    7    
23         0.001043415143129338   496.4722222222266      9          1    2    3    4    5    6    7    8    9    
228        0.010343419679716918   490.91666666666913     7          6    6    1    2    7    7    3    4    5    
250        0.011341468947058023   287.0555555555557      4          2    2    2    2    3    3    1    4    4    
221        0.010025858549199292   279.5833333333335      7          1    2    6    6    7    7    3    4    5    
48         0.0021775620378351405  50.77777777777778      8          1    2    8    8    3    4    5    6    7    
11         4.99024633670553E-4    25.13888888888888      5          4    4    4    4    5    5    1    2    3    
13         5.897563852470172E-4   16.833333333333332     4          1    1    2    2    3    3    4    4    4    
12         5.443905094587851E-4   14.805555555555555     5          4    4    4    4    1    2    3    5    5    
1          4.536587578823209E-5   10.222222222222221     5          2    3    3    2    4    4    1    5    5    
6          2.7219525472939256E-4  8.833333333333332      5          3    3    1    3    4    4    2    5    5    
6          2.7219525472939256E-4  7.944444444444445      5          1    3    3    3    4    4    2    5    5    
1          4.536587578823209E-5   3.8055555555555554     7          7    1    7    7    2    3    4    5    6    
2          9.073175157646419E-5   2.9444444444444446     5          3    1    3    3    4    4    2    5    5    
1          4.536587578823209E-5   2.888888888888889      5          3    3    4    4    1    2    5    5    5    
1          4.536587578823209E-5   2.888888888888889      6          5    5    5    1    6    6    2    3    4    
1          4.536587578823209E-5   2.833333333333333      6          5    5    1    5    6    6    2    3    4    
2          9.073175157646419E-5   2.0                    6          1    5    5    5    2    3    4    6    6    
2          9.073175157646419E-5   2.0                    5          1    2    3    3    4    4    5    5    5    
1          4.536587578823209E-5   1.0                    6          6    6    6    6    1    2    3    4    5    
1          4.536587578823209E-5   1.0                    6          4    4    1    2    5    5    6    6    3    
1          4.536587578823209E-5   1.0                    5          3    3    3    1    4    4    2    5    5    
1          4.536587578823209E-5   1.0                    6          4    1    2    4    5    5    3    6    6    

