count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
988        0.04331623481958876    21251.750000007898     7          6    6    1    2    7    7    3    4    5    
944        0.04138717173045728    20315.194444451496     7          6    6    7    7    1    2    3    4    5    
5203       0.22811171028979788    19934.083333338378     8          8    8    1    2    3    4    5    6    7    
1330       0.05831031610329256    14588.666666669642     7          6    6    1    2    3    4    5    7    7    
8587       0.3764741987811829     13499.805555556262     9          1    2    3    4    5    6    7    8    9    
333        0.014599500197290543   4728.63888888882       5          2    2    3    3    4    4    1    5    5    
464        0.020342847121750187   4409.13888888863       6          4    4    5    5    1    2    3    6    6    
109        0.0047788153798939016  4402.555555555251      6          1    2    4    4    5    5    3    6    6    
166        0.007277828927177868   4288.805555555394      7          1    2    6    6    7    7    3    4    5    
1164       0.051032487176114694   3975.4999999998        8          1    2    3    4    5    6    7    8    8    
929        0.04072953658643518    3105.5277777776446     8          1    2    3    4    8    8    5    6    7    
346        0.015169450655443027   2189.5277777777237     6          4    4    5    5    6    6    1    2    3    
842        0.03691525275110702    1420.083333333328      8          1    2    8    8    3    4    5    6    7    
488        0.02139506335218554    1182.1111111111031     6          4    4    1    2    5    5    3    6    6    
235        0.010302950589679512   616.194444444447       7          1    2    6    6    3    4    5    7    7    
233        0.0102152659038099     402.5555555555567      7          1    2    3    4    6    6    5    7    7    
38         0.0016660090315226445  362.8333333333352      7          1    2    3    4    5    6    7    7    7    
63         0.0027620676048928055  342.11111111111256     6          5    5    1    2    3    4    6    6    6    
13         5.699504581524837E-4   336.8611111111128      6          1    2    5    5    3    4    6    6    6    
51         0.002235959489675128   242.58333333333366     5          3    3    4    4    1    2    5    5    5    
6          2.6305405760883863E-4  205.66666666666694     6          4    4    5    5    1    2    6    6    3    
47         0.0020605901179359025  199.19444444444477     5          3    3    1    2    4    4    5    5    5    
7          3.0689640054364504E-4  154.41666666666697     5          1    2    3    3    4    4    5    5    5    
20         8.768468586961288E-4   141.36111111111123     8          1    2    3    4    5    6    8    7    8    
9          3.945810864132579E-4   136.75000000000023     6          4    4    5    5    1    2    6    3    6    
51         0.002235959489675128   102.30555555555553     4          1    1    2    2    3    3    4    4    4    
9          3.945810864132579E-4   100.88888888888889     7          1    2    3    4    6    6    7    5    7    
22         9.645315445657416E-4   95.2777777777778       7          6    6    1    2    3    4    7    7    5    
14         6.137928010872901E-4   92.13888888888891      6          4    4    1    2    5    5    6    6    3    
16         7.01477486956903E-4    52.83333333333331      8          1    2    3    4    5    6    8    8    7    
6          2.6305405760883863E-4  50.4444444444444       7          1    2    6    6    3    4    7    7    5    
21         9.206892016309352E-4   45.80555555555554      6          1    2    3    4    5    5    6    6    6    
23         0.001008373887500548   43.02777777777776      7          6    6    1    2    3    4    7    5    7    
6          2.6305405760883863E-4  20.916666666666664     5          2    2    3    3    4    4    5    5    1    
7          3.0689640054364504E-4  20.888888888888893     7          1    2    6    6    3    4    7    5    7    
8          3.507387434784515E-4   16.52777777777778      6          4    4    1    2    5    5    6    3    6    
5          2.192117146740322E-4   5.916666666666667      5          2    2    3    3    4    4    5    1    5    
2          8.768468586961288E-5   3.888888888888889      7          1    2    3    4    6    6    7    7    5    
1          4.384234293480644E-5   2.833333333333333      8          1    8    2    8    3    4    5    6    7    
2          8.768468586961288E-5   2.0                    6          5    5    1    5    6    6    2    3    4    
1          4.384234293480644E-5   1.0                    6          1    2    4    4    5    5    6    6    3    

