count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
2013       0.08825463632776535    21061.750000006872     7          6    6    1    2    7    7    3    4    5    
1791       0.07852163619623832    19032.861111116144     7          6    6    7    7    1    2    3    4    5    
2701       0.11841816826691218    17796.833333337217     7          6    6    1    2    3    4    5    7    7    
1331       0.058354158446227364   14541.638888891515     6          4    4    5    5    1    2    3    6    6    
2178       0.09548862291200842    12577.000000001677     9          1    2    3    4    5    6    7    8    9    
32         0.001402954973913806   11676.3611111123       7          6    6    1    2    3    4    7    5    7    
4896       0.21465211100881232    11624.222222222788     8          8    8    1    2    3    4    5    6    7    
1276       0.05594282958481301    7272.6666666672245     5          2    2    3    3    4    4    1    5    5    
827        0.03625761760708492    4829.749999999775      8          1    2    3    4    5    6    7    8    8    
195        0.008549256872287254   4433.555555555293      6          1    2    4    4    5    5    3    6    6    
1016       0.04454382042176334    4308.138888888674      6          4    4    5    5    6    6    1    2    3    
586        0.02569161295979657    3364.2222222220503     8          1    2    8    8    3    4    5    6    7    
374        0.016397036257617608   3351.6666666665224     7          1    2    3    4    6    6    5    7    7    
667        0.029242842737515894   2841.9444444443234     8          1    2    3    4    8    8    5    6    7    
1618       0.07093691086851682    2601.8333333333107     6          4    4    1    2    5    5    3    6    6    
152        0.006664036126090578   692.4166666666662      4          1    1    2    2    3    3    4    4    4    
236        0.01034679293261432    671.5555555555585      7          1    2    6    6    7    7    3    4    5    
21         9.206892016309352E-4   648.7500000000035      6          1    2    5    5    3    4    6    6    6    
99         0.004340391950545837   528.5555555555586      5          3    3    4    4    1    2    5    5    5    
129        0.00565566223859003    526.4722222222251      5          3    3    1    2    4    4    5    5    5    
129        0.00565566223859003    392.555555555557       6          5    5    1    2    3    4    6    6    6    
41         0.0017975360603270638  383.52777777777925     7          1    2    3    4    5    6    7    7    7    
20         8.768468586961288E-4   372.8611111111127      6          4    4    5    5    1    2    6    3    6    
302        0.013240387566311544   355.36111111111137     7          1    2    6    6    3    4    5    7    7    
17         7.453198298917094E-4   157.8611111111113      5          2    2    3    3    4    4    5    5    1    
19         8.330045157613223E-4   116.02777777777794     7          6    6    1    2    3    4    7    7    5    
22         9.645315445657416E-4   94.77777777777779      6          4    4    1    2    5    5    6    3    6    
15         6.576351440220965E-4   71.0833333333333       6          4    4    5    5    1    2    6    6    3    
15         6.576351440220965E-4   70.66666666666664      6          1    2    3    4    5    5    6    6    6    
21         9.206892016309352E-4   56.222222222222186     6          4    4    1    2    5    5    6    6    3    
7          3.0689640054364504E-4  54.74999999999996      6          1    2    4    4    5    5    6    3    6    
20         8.768468586961288E-4   42.13888888888888      5          2    2    3    3    4    4    5    1    5    
8          3.507387434784515E-4   28.805555555555543     8          1    2    3    4    5    6    8    8    7    
3          1.3152702880441932E-4  19.61111111111111      7          1    2    6    6    3    4    7    5    7    
2          8.768468586961288E-5   19.555555555555554     7          1    2    3    4    6    6    7    5    7    
7          3.0689640054364504E-4  19.25                  8          1    2    3    4    5    6    8    7    8    
2          8.768468586961288E-5   18.722222222222218     7          1    2    3    4    6    6    7    7    5    
10         4.384234293480644E-4   15.555555555555555     5          1    2    3    3    4    4    5    5    5    
4          1.7536937173922575E-4  7.777777777777778      7          1    2    6    6    3    4    7    7    5    
2          8.768468586961288E-5   2.9444444444444446     5          3    3    1    3    4    4    2    5    5    
2          8.768468586961288E-5   2.0                    6          1    2    4    4    5    5    6    6    3    
2          8.768468586961288E-5   2.0                    8          1    8    2    8    3    4    5    6    7    
1          4.384234293480644E-5   1.0                    4          2    2    1    2    3    3    4    4    4    

