count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
6615       0.4277400581959263     14658.500000001963     9          1    2    3    4    5    6    7    8    9    
897        0.058001939864209505   7750.222222222142      8          1    2    8    8    3    4    5    6    7    
1534       0.09919172324603945    7188.916666666706      8          1    2    3    4    5    6    7    8    8    
2116       0.13682508891044293    5895.388888888975      8          8    8    1    2    3    4    5    6    7    
937        0.060588425476883284   3781.083333333152      7          6    6    1    2    3    4    5    7    7    
453        0.029291949563530553   2593.305555555482      7          6    6    7    7    1    2    3    4    5    
185        0.01196249595861623    2289.9999999999386     6          4    4    1    2    5    5    3    6    6    
347        0.02243776268994504    1940.7222222222072     7          1    2    6    6    3    4    5    7    7    
384        0.024830261881668283   1419.527777777762      8          1    2    3    4    8    8    5    6    7    
80         0.005172971225347559   1327.4722222222179     8          1    8    8    2    3    4    5    6    7    
356        0.023019721952796637   1317.444444444443      6          4    4    5    5    1    2    3    6    6    
167        0.01079857743291303    1023.3055555555551     7          1    2    3    4    6    6    5    7    7    
18         0.0011639185257032007  879.3055555555508      6          5    5    5    1    6    6    2    3    4    
215        0.013902360168121564   807.3055555555547      7          6    6    1    2    7    7    3    4    5    
40         0.0025864856126737797  707.4722222222197      5          3    3    1    2    4    4    4    5    5    
41         0.002651147752990624   617.5277777777786      8          1    2    3    4    8    5    8    6    7    
25         0.0016165535079211122  578.138888888893       7          1    6    6    2    3    4    5    7    7    
59         0.0038150662786938247  522.2777777777808      6          1    2    4    4    5    5    3    6    6    
86         0.005560944067248626   489.2777777777808      7          7    7    7    1    2    3    4    5    6    
91         0.005884254768832848   486.5555555555587      7          1    2    6    6    7    7    3    4    5    
5          3.2331070158422246E-4  481.33333333333707     6          1    2    4    4    5    3    5    6    6    
121        0.007824118978338183   341.6666666666676      5          2    2    3    3    4    4    1    5    5    
20         0.0012932428063368898  299.30555555555617     7          6    1    6    2    3    4    5    7    7    
18         0.0011639185257032007  297.38888888888937     7          6    6    1    2    7    3    7    4    5    
7          4.5263498221791143E-4  283.02777777777777     7          1    2    6    6    7    3    7    4    5    
2          1.2932428063368897E-4  233.8611111111104      7          6    6    1    2    3    4    7    5    7    
25         0.0016165535079211122  226.91666666666643     6          4    4    1    2    5    3    5    6    6    
23         0.0014872292272874231  205.63888888888886     6          5    5    1    2    6    6    6    3    4    
32         0.0020691884901390236  197.72222222222246     8          8    1    2    8    3    4    5    6    7    
4          2.5864856126737795E-4  193.3055555555553      7          1    2    6    6    3    4    7    7    5    
20         0.0012932428063368898  191.08333333333334     7          1    2    3    4    7    7    7    5    6    
15         9.699321047526673E-4   173.75000000000009     7          6    1    2    6    3    4    5    7    7    
22         0.0014225670869705788  162.7222222222222      4          1    1    2    2    3    3    3    4    4    
8          5.172971225347559E-4   136.4722222222223      5          2    2    3    3    4    1    4    5    5    
68         0.004397025541545425   135.94444444444454     6          5    5    5    1    2    3    4    6    6    
32         0.0020691884901390236  134.19444444444449     8          8    1    8    2    3    4    5    6    7    
19         0.0012285806660200453  133.38888888888908     5          3    3    3    1    4    4    2    5    5    
11         7.112835434852894E-4   130.08333333333337     5          3    3    4    4    5    5    5    1    2    
76         0.004914322664080181   124.91666666666674     6          4    4    5    5    6    6    1    2    3    
1          6.466214031684449E-5   111.61111111111128     5          3    3    3    1    4    2    4    5    5    
21         0.0013579049466537342  107.22222222222226     7          7    7    1    7    2    3    4    5    6    
14         9.052699644358229E-4   102.63888888888901     5          1    2    3    3    4    4    4    5    5    
19         0.0012285806660200453  88.27777777777781      7          1    2    3    4    6    5    6    7    7    
10         6.466214031684449E-4   73.55555555555554      8          1    2    3    4    5    8    8    6    7    
5          3.2331070158422246E-4  69.13888888888881      7          6    7    7    6    1    2    3    4    5    
3          1.9398642095053346E-4  66.47222222222217      7          1    2    3    4    5    6    7    7    7    
10         6.466214031684449E-4   65.27777777777773      6          1    2    3    4    5    5    5    6    6    
2          1.2932428063368897E-4  61.86111111111104      6          4    1    2    4    5    5    3    6    6    
2          1.2932428063368897E-4  61.08333333333328      7          1    6    2    6    3    4    5    7    7    
8          5.172971225347559E-4   60.63888888888883      6          1    4    4    2    5    5    3    6    6    
4          2.5864856126737795E-4  58.91666666666661      7          6    1    2    6    7    7    3    4    5    
8          5.172971225347559E-4   50.11111111111108      5          3    1    3    3    4    4    2    5    5    
4          2.5864856126737795E-4  49.27777777777775      6          5    5    1    2    3    4    6    6    6    
3          1.9398642095053346E-4  45.69444444444443      6          4    1    4    2    5    5    3    6    6    
5          3.2331070158422246E-4  45.49999999999998      5          2    2    3    3    1    4    4    5    5    
13         8.406078241189783E-4   41.77777777777777      6          5    5    1    5    2    3    4    6    6    
3          1.9398642095053346E-4  33.47222222222222      8          1    2    3    4    5    6    8    7    8    
6          3.879728419010669E-4   33.444444444444436     7          6    6    1    2    3    7    7    4    5    
5          3.2331070158422246E-4  31.611111111111107     6          5    1    5    5    2    3    4    6    6    
2          1.2932428063368897E-4  31.02777777777777      7          1    6    2    6    7    7    3    4    5    
2          1.2932428063368897E-4  30.472222222222232     7          6    1    2    6    7    3    7    4    5    
8          5.172971225347559E-4   30.472222222222218     5          2    3    3    2    4    4    1    5    5    
14         9.052699644358229E-4   28.86111111111111      7          7    1    7    7    2    3    4    5    6    
8          5.172971225347559E-4   27.47222222222222      7          1    6    6    2    7    7    3    4    5    
5          3.2331070158422246E-4  27.36111111111111      7          1    7    7    7    2    3    4    5    6    
7          4.5263498221791143E-4  26.333333333333336     6          4    4    5    5    6    1    6    2    3    
3          1.9398642095053346E-4  26.083333333333336     6          5    5    5    1    6    2    6    3    4    
1          6.466214031684449E-5   22.138888888888882     6          5    1    5    5    6    2    6    3    4    
