count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
2653       0.3340468395870058     7743.722222222802      7          6    6    7    7    1    2    3    4    5    
702        0.08839083354318811    5008.888888888655      8          1    2    8    8    3    4    5    6    7    
2876       0.36212540921682196    4511.194444444399      6          4    4    5    5    1    2    3    6    6    
202        0.025434399395618233   1484.9999999999816     5          2    2    3    3    4    4    1    5    5    
551        0.06937799043062201    1430.8333333333258     7          1    2    6    6    3    4    5    7    7    
329        0.041425333669100985   888.8333333333272      8          8    8    1    2    3    4    5    6    7    
89         0.011206245278267439   504.91666666667004     6          4    4    5    5    6    6    1    2    3    
247        0.03110047846889952    496.50000000000193     7          6    6    1    2    3    4    5    7    7    
20         0.0025182573659027953  252.61111111111174     7          1    2    6    6    7    7    3    4    5    
68         0.008562075044069504   242.4722222222229      8          1    2    3    4    5    6    7    8    8    
7          8.813900780659784E-4   170.00000000000043     7          6    6    1    2    7    7    3    4    5    
135        0.016998237219843868   169.8888888888889      9          1    2    3    4    5    6    7    8    9    
23         0.0028959959707882147  38.88888888888887      6          1    2    4    4    5    5    3    6    6    
2          2.518257365902795E-4   35.055555555555536     7          1    2    3    4    6    6    5    7    7    
2          2.518257365902795E-4   22.166666666666657     6          1    2    5    5    3    4    6    6    6    
14         0.0017627801561319568  20.749999999999996     5          3    3    4    4    1    2    5    5    5    
11         0.0013850415512465374  15.58333333333333      6          4    4    1    2    5    5    3    6    6    
2          2.518257365902795E-4   6.583333333333334      6          4    4    5    5    1    2    6    3    6    
4          5.03651473180559E-4    4.944444444444445      4          1    1    2    2    3    3    4    4    4    
1          1.2591286829513975E-4  3.916666666666667      6          6    6    6    6    1    2    3    4    5    
3          3.777386048854193E-4   3.0                    5          4    4    4    4    1    2    3    5    5    
1          1.2591286829513975E-4  1.0                    6          5    5    1    2    3    4    6    6    6    

