count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
2049       0.2579954671367414     5432.138888888971      5          4    4    4    4    1    2    3    5    5    
1667       0.209896751447998      3436.3888888887777     4          2    2    2    2    3    3    1    4    4    
290        0.03651473180559053    2164.6666666666492     4          1    1    2    2    3    3    4    4    4    
1047       0.13183077310501135    2003.3611111110736     6          4    4    5    5    1    2    3    6    6    
779        0.09808612440191387    1849.7777777777417     4          3    3    3    3    1    2    4    4    4    
1058       0.13321581465625787    1071.8055555555557     3          1    1    1    1    2    2    3    3    3    
31         0.0039032989171493325  931.2500000000039      7          6    6    7    7    1    2    3    4    5    
670        0.08436162175774364    925.8055555555524      5          2    2    3    3    4    4    1    5    5    
12         0.0015109544195416771  665.2777777777727      6          4    4    5    5    6    6    1    2    3    
277        0.034877864517753716   277.94444444444446     5          3    3    4    4    1    2    5    5    5    
44         0.00554016620498615    58.527777777777764     6          6    6    6    6    1    2    3    4    5    
13         0.0016368672878368168  14.944444444444443     5          4    4    4    4    5    5    1    2    3    
2          2.518257365902795E-4   2.0                    4          2    2    2    2    3    3    4    4    1    
1          1.2591286829513975E-4  1.0                    6          4    4    1    2    5    5    3    6    6    
1          1.2591286829513975E-4  1.0                    2          1    1    1    1    2    2    2    2    2    
1          1.2591286829513975E-4  1.0                    6          4    4    5    5    1    2    6    6    3    

