count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
7998       0.5218923327895596     14825.972222223976     9          1    2    3    4    5    6    7    8    9    
1401       0.09141924959216965    6771.16666666657       8          1    2    8    8    3    4    5    6    7    
1138       0.07425774877650897    5353.472222222098      8          8    8    1    2    3    4    5    6    7    
110        0.007177814029363785   4156.444444444179      6          1    2    4    4    5    5    3    6    6    
911        0.05944535073409462    4112.1666666664605     8          1    2    3    4    8    8    5    6    7    
1018       0.06642740619902121    3276.91666666656       8          1    2    3    4    5    6    7    8    8    
98         0.006394779771615008   2191.694444444424      6          4    4    1    2    5    5    3    6    6    
278        0.018140293637846656   1990.7777777777337     7          6    6    1    2    3    4    5    7    7    
310        0.020228384991843394   1883.0833333333012     7          1    2    6    6    7    7    3    4    5    
203        0.013246329526916803   1666.0277777777542     7          1    2    3    4    6    6    5    7    7    
356        0.023230016313213704   1529.3333333333123     7          6    6    7    7    1    2    3    4    5    
324        0.021141924959216966   911.0555555555504      7          1    2    6    6    3    4    5    7    7    
212        0.013833605220228385   882.3611111111055      7          6    6    1    2    7    7    3    4    5    
144        0.009396411092985318   807.9166666666638      8          8    1    2    8    3    4    5    6    7    
155        0.010114192495921697   449.5000000000024      6          4    4    5    5    1    2    3    6    6    
32         0.0020880913539967376  331.97222222222354     7          6    1    2    6    3    4    5    7    7    
126        0.008221859706362153   306.08333333333366     6          4    4    5    5    6    6    1    2    3    
13         8.482871125611746E-4   210.91666666666728     5          3    1    3    3    4    4    2    5    5    
6          3.9151712887438824E-4  200.44444444444437     7          6    7    7    6    1    2    3    4    5    
81         0.005285481239804241   199.6388888888891      7          7    1    7    7    2    3    4    5    6    
7          4.567699836867863E-4   185.41666666666654     7          6    1    6    2    3    4    5    7    7    
4          2.610114192495922E-4   182.02777777777766     6          5    5    5    1    6    6    2    3    4    
2          1.305057096247961E-4   170.4722222222225      6          4    5    5    4    6    6    1    2    3    
36         0.0023491027732463294  157.6666666666668      7          6    1    2    6    7    7    3    4    5    
5          3.262642740619902E-4   141.638888888889       7          6    1    6    2    7    7    3    4    5    
41         0.0026753670473083197  136.8055555555557      7          7    7    1    7    2    3    4    5    6    
90         0.005872756933115824   134.0000000000001      5          2    2    3    3    4    4    1    5    5    
1          6.525285481239805E-5   130.19444444444463     6          4    5    5    4    1    2    3    6    6    
4          2.610114192495922E-4   127.86111111111121     7          1    6    6    2    7    7    3    4    5    
3          1.9575856443719412E-4  113.83333333333346     7          1    6    2    6    3    4    5    7    7    
9          5.872756933115824E-4   110.33333333333336     8          1    8    8    2    3    4    5    6    7    
10         6.525285481239804E-4   106.47222222222234     7          1    6    6    2    3    4    5    7    7    
23         0.001500815660685155   101.08333333333337     6          5    1    5    5    2    3    4    6    6    
39         0.0025448613376835238  80.25000000000003      6          5    1    5    5    6    6    2    3    4    
13         8.482871125611746E-4   75.47222222222219      7          7    7    7    1    2    3    4    5    6    
17         0.0011092985318107667  68.19444444444441      6          5    5    1    5    2    3    4    6    6    
1          6.525285481239805E-5   51.41666666666663      6          1    5    5    5    2    3    4    6    6    
22         0.001435562805872757   50.166666666666636     8          8    1    8    2    3    4    5    6    7    
1          6.525285481239805E-5   49.74999999999996      6          1    4    2    4    5    5    3    6    6    
17         0.0011092985318107667  48.74999999999998      6          4    1    2    4    5    5    3    6    6    
17         0.0011092985318107667  33.69444444444444      8          1    8    2    8    3    4    5    6    7    
9          5.872756933115824E-4   29.74999999999999      7          1    7    7    7    2    3    4    5    6    
12         7.830342577487765E-4   22.611111111111107     6          5    5    1    5    6    6    2    3    4    
6          3.9151712887438824E-4  16.166666666666664     6          4    1    4    2    5    5    3    6    6    
8          5.220228384991844E-4   12.583333333333334     5          3    3    1    3    4    4    2    5    5    
3          1.9575856443719412E-4  7.638888888888889      7          1    6    2    6    7    7    3    4    5    
3          1.9575856443719412E-4  5.805555555555555      6          5    5    5    1    2    3    4    6    6    
2          1.305057096247961E-4   4.861111111111111      5          2    3    3    2    4    4    1    5    5    
2          1.305057096247961E-4   3.833333333333333      6          1    5    5    5    6    6    2    3    4    
2          1.305057096247961E-4   2.9444444444444446     6          1    4    4    2    5    5    3    6    6    
1          6.525285481239805E-5   1.0                    8          1    2    3    4    5    6    8    7    8    
1          6.525285481239805E-5   1.0                    5          3    3    3    1    4    4    2    5    5    

