count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
1031       0.1457655874452142     4226.055555555302      4          2    2    2    2    3    3    1    4    4    
3377       0.4774494556765163     3377.0                 3          1    1    1    1    2    2    3    3    3    
2433       0.3439841651350205     2433.0                 2          1    1    1    1    2    2    2    2    2    
185        0.026155803760780433   185.0                  3          2    2    2    2    3    3    1    3    3    
19         0.002686271737593666   29.388888888888882     4          1    1    2    2    3    3    4    4    4    
11         0.0015552099533437014  11.0                   5          2    2    3    3    4    4    1    5    5    
7          9.896790612187191E-4   7.0                    3          1    1    2    2    3    3    3    3    3    
6          8.482963381874735E-4   6.0                    3          1    1    1    1    2    2    2    3    3    
4          5.655308921249824E-4   4.0                    4          2    2    3    3    4    4    1    4    4    

