count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
10037      0.7088276836158192     13975.194444445544     5          2    2    3    3    4    4    1    5    5    
1569       0.11080508474576271    3873.9722222220603     6          4    4    5    5    1    2    3    6    6    
71         0.00501412429378531    3748.1944444442456     7          6    6    1    2    7    7    3    4    5    
651        0.04597457627118644    2307.416666666598      6          4    4    5    5    6    6    1    2    3    
415        0.029307909604519775   1677.4166666666395     6          1    2    4    4    5    5    3    6    6    
738        0.05211864406779661    1326.4722222222154     6          4    4    1    2    5    5    3    6    6    
96         0.006779661016949152   536.1111111111151      7          1    2    6    6    3    4    5    7    7    
72         0.005084745762711864   457.1666666666701      7          1    2    3    4    6    6    5    7    7    
190        0.013418079096045197   417.8333333333351      7          6    6    1    2    3    4    5    7    7    
154        0.010875706214689265   269.3888888888893      7          6    6    7    7    1    2    3    4    5    
36         0.002542372881355932   116.0555555555557      7          1    2    6    6    7    7    3    4    5    
6          4.23728813559322E-4    83.77777777777786      9          1    2    3    4    5    6    7    8    9    
32         0.0022598870056497176  77.33333333333329      8          8    8    1    2    3    4    5    6    7    
29         0.0020480225988700564  46.94444444444443      8          1    2    3    4    5    6    7    8    8    
38         0.0026836158192090395  43.83333333333333      4          2    2    2    2    3    3    1    4    4    
11         7.768361581920904E-4   18.555555555555557     8          1    2    8    8    3    4    5    6    7    
8          5.649717514124294E-4   8.0                    8          1    2    3    4    8    8    5    6    7    
6          4.23728813559322E-4    6.0                    5          4    4    4    4    1    2    3    5    5    
1          7.062146892655367E-5   1.0                    4          1    1    2    2    3    3    4    4    4    

