count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
6354       0.39625818521983164    13236.722222223903     5          2    2    3    3    4    4    1    5    5    
409        0.02550670408481447    6481.000000000263      6          4    4    1    2    5    5    3    6    6    
682        0.042531961334580606   6166.444444444693      6          4    4    5    5    1    2    3    6    6    
4659       0.2905519176800748     5734.805555555618      4          1    1    2    2    3    3    4    4    4    
1051       0.06554412223261616    2126.333333333285      4          2    2    2    2    3    3    1    4    4    
920        0.05737449329591519    1081.777777777776      3          1    1    1    1    2    2    3    3    3    
488        0.03043342687870284    960.5833333333266      6          4    4    5    5    6    6    1    2    3    
202        0.012597443093233551   711.500000000002       5          3    3    1    2    4    4    5    5    5    
276        0.017212347988774555   542.805555555557       5          3    3    4    4    1    2    5    5    5    
64         0.003991269098846274   356.80555555555736     7          6    6    1    2    3    4    5    7    7    
4          2.494543186778921E-4   342.6388888888902      8          1    2    3    4    5    6    7    8    8    
46         0.0028687246647957593  316.80555555555617     6          1    2    4    4    5    5    3    6    6    
66         0.00411599625818522    288.4722222222235      7          6    6    1    2    7    7    3    4    5    
102        0.006361085126286249   205.4444444444448      7          6    6    7    7    1    2    3    4    5    
98         0.006111630807608357   145.02777777777786     4          1    1    2    2    3    3    3    4    4    
30         0.0018709073900841909  134.5000000000001      3          1    1    1    1    2    2    2    3    3    
127        0.007920174618023074   128.94444444444446     3          1    1    2    2    3    3    3    3    3    
49         0.0030558154038041784  123.94444444444439     5          4    4    4    4    5    5    1    2    3    
38         0.002369816027439975   112.22222222222217     4          3    3    3    3    1    2    4    4    4    
23         0.0014343623323978796  107.0277777777778      5          2    2    3    3    4    4    5    5    1    
40         0.002494543186778921   84.25000000000001      5          2    2    3    3    4    4    5    1    5    
65         0.004053632678515747   80.05555555555556      5          4    4    4    4    1    2    3    5    5    
20         0.0012472715933894605  76.24999999999996      6          5    5    1    2    3    4    6    6    6    
10         6.236357966947302E-4   60.47222222222216      7          1    2    6    6    3    4    5    7    7    
15         9.354536950420954E-4   57.52777777777774      8          8    8    1    2    3    4    5    6    7    
53         0.0033052697224820703  53.0                   2          1    1    1    1    2    2    2    2    2    
13         8.107265357031494E-4   47.2222222222222       7          1    2    3    4    6    6    5    7    7    
15         9.354536950420954E-4   42.97222222222221      5          1    2    3    3    4    4    5    5    5    
5          3.118178983473651E-4   31.194444444444446     8          1    2    8    8    3    4    5    6    7    
3          1.8709073900841907E-4  26.861111111111118     6          4    4    1    2    5    5    6    6    3    
2          1.2472715933894605E-4  24.63888888888889      6          5    5    5    1    2    3    4    6    6    
11         6.859993763642033E-4   23.249999999999993     5          3    3    3    1    4    4    2    5    5    
2          1.2472715933894605E-4  16.083333333333332     7          1    2    6    6    3    4    7    7    5    
16         9.978172747115684E-4   16.0                   4          2    2    3    3    4    4    1    4    4    
3          1.8709073900841907E-4  15.83333333333333      6          1    2    3    4    5    5    6    6    6    
3          1.8709073900841907E-4  15.138888888888888     4          2    2    1    2    3    3    4    4    4    
12         7.483629560336763E-4   12.972222222222221     4          2    2    2    1    3    3    4    4    4    
7          4.365450576863112E-4   12.666666666666668     6          6    6    6    6    1    2    3    4    5    
5          3.118178983473651E-4   12.36111111111111      7          1    2    6    6    7    7    3    4    5    
2          1.2472715933894605E-4  12.111111111111109     6          4    4    5    5    1    2    6    3    6    
8          4.989086373557842E-4   10.88888888888889      5          3    3    1    3    4    4    2    5    5    
2          1.2472715933894605E-4  10.63888888888889      7          1    2    3    4    5    6    7    7    7    
4          2.494543186778921E-4   8.666666666666668      6          1    2    5    5    3    4    6    6    6    
8          4.989086373557842E-4   8.0                    3          2    2    2    2    3    3    1    3    3    
4          2.494543186778921E-4   5.888888888888889      4          2    2    2    2    3    3    4    4    1    
3          1.8709073900841907E-4  4.888888888888889      5          3    3    1    2    4    4    4    5    5    
3          1.8709073900841907E-4  3.9444444444444446     5          3    1    3    3    4    4    2    5    5    
1          6.236357966947302E-5   2.8611111111111107     6          5    5    1    5    6    6    2    3    4    
1          6.236357966947302E-5   2.833333333333333      6          4    1    2    4    5    5    3    6    6    
2          1.2472715933894605E-4  2.0                    4          2    2    2    2    3    3    4    1    4    
2          1.2472715933894605E-4  2.0                    5          3    3    4    4    5    5    5    1    2    
2          1.2472715933894605E-4  2.0                    4          3    3    1    2    4    4    4    4    4    
1          6.236357966947302E-5   1.9166666666666665     6          4    4    5    5    1    2    6    6    3    
1          6.236357966947302E-5   1.0                    5          4    4    4    1    2    3    5    5    5    
1          6.236357966947302E-5   1.0                    6          5    5    1    5    2    3    4    6    6    
1          6.236357966947302E-5   1.0                    9          1    2    3    4    5    6    7    8    9    
1          6.236357966947302E-5   1.0                    4          1    2    2    2    3    3    4    4    4    

