count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
2752       0.17162457125038977    14515.277777780346     8          8    8    1    2    3    4    5    6    7    
163        0.010165263486124104   10569.666666667348     6          1    2    4    4    5    5    3    6    6    
1183       0.0737761147489866     10566.305555556342     9          1    2    3    4    5    6    7    8    9    
793        0.04945431867789211    10434.333333334493     6          4    4    1    2    5    5    3    6    6    
1150       0.07171811661989398    10222.611111112143     5          2    2    3    3    4    4    1    5    5    
1828       0.11400062363579669    8060.055555555861      7          6    6    1    2    3    4    5    7    7    
350        0.02182725288431556    8029.388888889201      7          1    2    6    6    3    4    5    7    7    
731        0.04558777673838478    7908.250000000521      6          4    4    5    5    6    6    1    2    3    
565        0.03523542251325226    5903.972222222191      8          1    2    3    4    5    6    7    8    8    
837        0.05219831618334892    5346.972222222123      7          6    6    1    2    7    7    3    4    5    
1680       0.10477081384471469    4958.749999999998      6          4    4    5    5    1    2    3    6    6    
501        0.031244153414405985   2934.222222222118      8          1    2    8    8    3    4    5    6    7    
1709       0.10657935765512941    2548.083333333314      7          6    6    7    7    1    2    3    4    5    
273        0.017025257249766137   1087.2499999999889     5          3    3    4    4    1    2    5    5    5    
204        0.012722170252572497   820.694444444443       6          5    5    1    2    3    4    6    6    6    
265        0.01652634861241035    760.527777777773       8          1    2    3    4    8    8    5    6    7    
184        0.011474898659183037   597.9722222222246      7          1    2    3    4    6    6    5    7    7    
140        0.008730901153726224   589.194444444445       5          3    3    1    2    4    4    5    5    5    
32         0.001995634549423137   565.5555555555574      6          4    4    5    5    1    2    6    3    6    
224        0.013969441845961958   428.19444444444605     4          1    1    2    2    3    3    4    4    4    
159        0.00991580916744621    294.27777777777794     7          1    2    6    6    7    7    3    4    5    
31         0.0019332709697536638  197.13888888888906     7          6    6    1    2    3    4    7    5    7    
35         0.002182725288431556   178.416666666667       6          1    2    5    5    3    4    6    6    6    
21         0.0013096351730589337  161.6666666666668      7          6    6    1    2    3    4    7    7    5    
53         0.0033052697224820703  123.86111111111113     7          1    2    3    4    5    6    7    7    7    
1          6.236357966947302E-5   119.77777777777783     7          6    6    1    2    7    3    7    4    5    
14         8.730901153726223E-4   114.02777777777784     5          2    2    3    3    4    4    5    1    5    
14         8.730901153726223E-4   101.61111111111113     6          4    4    1    2    5    5    6    6    3    
21         0.0013096351730589337  89.1111111111112       6          1    2    3    4    5    5    6    6    6    
27         0.0016838166510757717  62.222222222222186     6          4    4    5    5    1    2    6    6    3    
10         6.236357966947302E-4   52.72222222222219      8          1    2    3    4    5    6    8    7    8    
19         0.0011849080137199875  50.41666666666666      6          4    4    1    2    5    5    6    3    6    
1          6.236357966947302E-5   42.99999999999998      6          1    2    4    4    5    5    6    3    6    
19         0.0011849080137199875  42.83333333333333      5          1    2    3    3    4    4    5    5    5    
10         6.236357966947302E-4   41.472222222222214     7          1    2    6    6    3    4    7    5    7    
5          3.118178983473651E-4   29.166666666666668     8          1    2    3    4    5    6    8    8    7    
5          3.118178983473651E-4   21.05555555555555      7          1    2    6    6    3    4    7    7    5    
16         9.978172747115684E-4   16.944444444444443     5          2    2    3    3    4    4    5    5    1    
1          6.236357966947302E-5   16.638888888888886     5          3    3    4    4    5    5    5    1    2    
4          2.494543186778921E-4   4.944444444444445      7          1    2    3    4    6    6    7    5    7    
2          1.2472715933894605E-4  2.0                    6          5    5    5    1    6    6    2    3    4    
1          6.236357966947302E-5   1.0                    4          1    1    2    2    3    3    3    4    4    
1          6.236357966947302E-5   1.0                    7          1    2    3    4    6    6    7    7    5    
1          6.236357966947302E-5   1.0                    6          5    5    1    5    2    3    4    6    6    

