count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
4535       0.28281883380106015    14698.277777780117     9          1    2    3    4    5    6    7    8    9    
1224       0.07633302151543499    10586.305555557052     7          6    6    1    2    3    4    5    7    7    
150        0.009354536950420954   9277.36111111172       7          1    2    3    4    6    6    5    7    7    
1091       0.06803866541939507    8755.277777778892      7          6    6    7    7    1    2    3    4    5    
350        0.02182725288431556    8463.138888888878      6          4    4    1    2    5    5    3    6    6    
311        0.01939507327720611    8360.250000000835      7          1    2    6    6    3    4    5    7    7    
934        0.05824758341128781    7305.249999999672      8          1    2    3    4    5    6    7    8    8    
3326       0.2074212659806673     6756.777777777714      8          8    8    1    2    3    4    5    6    7    
502        0.03130651699407546    3465.7777777776287     7          6    6    1    2    7    7    3    4    5    
404        0.025194886186467102   3089.138888888788      5          2    2    3    3    4    4    1    5    5    
104        0.006485812285625195   2536.8333333332002     6          1    2    4    4    5    5    3    6    6    
304        0.0189585282195198     2520.4722222220994     6          4    4    5    5    6    6    1    2    3    
750        0.04677268475210477    2116.999999999967      6          4    4    5    5    1    2    3    6    6    
842        0.05251013408169629    1532.1388888888741     8          1    2    8    8    3    4    5    6    7    
368        0.022949797318366074   690.6111111111097      8          1    2    3    4    8    8    5    6    7    
127        0.007920174618023074   595.4166666666675      5          3    3    4    4    1    2    5    5    5    
112        0.006984720922980979   493.94444444444724     6          5    5    1    2    3    4    6    6    6    
17         0.0010601808543810414  379.33333333333525     6          4    4    5    5    1    2    6    3    6    
25         0.0015590894917368258  311.08333333333434     6          1    2    5    5    3    4    6    6    6    
132        0.00823199251637044    280.97222222222234     7          1    2    6    6    7    7    3    4    5    
43         0.00268163392578734    268.3055555555555      7          6    6    1    2    3    4    7    5    7    
85         0.005300904271905207   260.277777777778       4          1    1    2    2    3    3    4    4    4    
9          5.612722170252573E-4   202.13888888888903     7          1    2    6    6    3    4    7    5    7    
61         0.003804178359837855   201.4722222222225      5          3    3    1    2    4    4    5    5    5    
26         0.0016214530714062988  186.9444444444448      8          1    2    3    4    5    6    8    8    7    
1          6.236357966947302E-5   144.61111111111114     8          1    2    3    4    8    5    8    6    7    
27         0.0016838166510757717  140.00000000000006     8          1    2    3    4    5    6    8    7    8    
31         0.0019332709697536638  128.00000000000017     7          6    6    1    2    3    4    7    7    5    
14         8.730901153726223E-4   126.63888888888914     6          1    2    3    4    5    5    6    6    6    
10         6.236357966947302E-4   90.27777777777774      5          1    2    3    3    4    4    5    5    5    
49         0.0030558154038041784  65.5                   7          1    2    3    4    5    6    7    7    7    
7          4.365450576863112E-4   65.27777777777771      6          4    4    1    2    5    5    6    6    3    
13         8.107265357031494E-4   42.36111111111109      6          4    4    5    5    1    2    6    6    3    
13         8.107265357031494E-4   38.55555555555555      6          4    4    1    2    5    5    6    3    6    
1          6.236357966947302E-5   27.499999999999996     6          1    2    4    4    5    5    6    3    6    
8          4.989086373557842E-4   22.19444444444444      7          1    2    6    6    3    4    7    7    5    
6          3.7418147801683815E-4  19.16666666666666      7          1    2    3    4    6    6    7    5    7    
8          4.989086373557842E-4   17.38888888888889      5          2    2    3    3    4    4    5    1    5    
4          2.494543186778921E-4   13.5                   7          1    2    3    4    6    6    7    7    5    
1          6.236357966947302E-5   11.305555555555555     7          1    2    6    6    7    3    7    4    5    
8          4.989086373557842E-4   9.944444444444445      5          2    2    3    3    4    4    5    5    1    
2          1.2472715933894605E-4  2.0                    6          1    2    4    4    5    5    6    6    3    

