count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
11272      0.4814624978643431     22921.69444444871      9          1    2    3    4    5    6    7    8    9    
6018       0.25704766786263455    11848.638888890115     8          8    8    1    2    3    4    5    6    7    
1740       0.0743208610968734     5848.416666666781      8          1    2    8    8    3    4    5    6    7    
18         7.688364941055869E-4   5152.22222222205       8          1    2    3    4    5    6    8    8    7    
1746       0.07457713992824193    4190.055555555406      7          6    6    7    7    1    2    3    4    5    
382        0.01631641893046301    2346.305555555477      6          4    4    5    5    1    2    3    6    6    
692        0.029557491884503673   2100.6944444444066     7          6    6    1    2    3    4    5    7    7    
169        0.0072185204168802326  1266.9444444444352     7          6    6    1    2    7    7    3    4    5    
704        0.03007004954724073    1217.6944444444382     8          1    2    3    4    5    6    7    8    8    
56         0.0023919357594396036  611.0555555555569      7          1    2    6    6    7    7    3    4    5    
114        0.004869297796002051   564.9444444444472      6          4    4    5    5    6    6    1    2    3    
160        0.006834102169827439   456.38888888889073     8          1    2    3    4    8    8    5    6    7    
183        0.007816504356740134   303.3888888888892      7          1    2    6    6    3    4    5    7    7    
38         0.0016230992653340167  105.9166666666668      5          2    2    3    3    4    4    1    5    5    
8          3.4170510849137196E-4  79.33333333333331      7          6    6    1    2    3    4    7    5    7    
17         7.261233555441654E-4   68.94444444444441      7          6    6    1    2    3    4    7    7    5    
11         4.698445241756364E-4   60.24999999999997      7          1    2    3    4    6    6    5    7    7    
9          3.8441824705279346E-4  59.30555555555552      8          1    2    3    4    5    6    8    7    8    
5          2.1356569280710748E-4  50.972222222222186     7          1    2    6    6    3    4    7    7    5    
10         4.2713138561421496E-4  46.722222222222186     6          1    2    4    4    5    5    3    6    6    
35         0.0014949598496497522  38.694444444444436     6          4    4    1    2    5    5    3    6    6    
2          8.542627712284299E-5   18.111111111111107     6          4    4    5    5    1    2    6    3    6    
9          3.8441824705279346E-4  17.333333333333332     6          4    4    5    5    1    2    6    6    3    
2          8.542627712284299E-5   12.33333333333333      5          3    3    4    4    1    2    5    5    5    
5          2.1356569280710748E-4  9.694444444444445      7          1    2    3    4    5    6    7    7    7    
3          1.2813941568426448E-4  3.9444444444444446     7          1    2    6    6    3    4    7    5    7    
2          8.542627712284299E-5   2.9166666666666665     6          5    5    1    2    3    4    6    6    6    
1          4.2713138561421494E-5  1.9166666666666665     6          4    4    1    2    5    5    6    6    3    
1          4.2713138561421494E-5  1.0                    5          2    2    3    3    4    4    5    1    5    

