count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
7923       0.5520100327457674     12706.111111112303     5          2    2    3    3    4    4    1    5    5    
265        0.018463039085905384   9639.722222222408      5          3    3    3    1    4    4    2    5    5    
5          3.4835922803595065E-4  7737.6388888897645     5          3    1    3    3    4    4    2    5    5    
1131       0.07879885738173205    4724.611111110907      6          4    4    5    5    1    2    3    6    6    
1491       0.10388072180032049    3722.1666666665296     6          4    4    1    2    5    5    3    6    6    
37         0.002577858287466035   2914.0833333332407     6          5    5    5    1    2    3    4    6    6    
276        0.019229429387584478   2120.5277777777455     6          1    2    4    4    5    5    3    6    6    
216        0.01504911865115307    1776.2222222221658     7          6    6    7    7    1    2    3    4    5    
815        0.05678255416985996    1712.33333333333       6          4    4    5    5    6    6    1    2    3    
38         0.002647530133073225   1611.6388888888423     7          1    2    6    6    7    7    3    4    5    
958        0.06674562809168814    1364.7222222222176     4          2    2    2    2    3    3    1    4    4    
47         0.0032745767435379365  1177.7499999999832     8          1    2    3    4    5    6    7    8    8    
6          4.180310736431408E-4   1157.0277777777737     7          7    7    7    1    2    3    4    5    6    
1          6.967184560719014E-5   1116.083333333325      6          5    5    1    5    6    6    2    3    4    
101        0.007036856406326204   914.5555555555425      8          8    8    1    2    3    4    5    6    7    
1          6.967184560719014E-5   859.6666666666592      7          7    7    1    7    2    3    4    5    6    
26         0.0018114679857869436  813.5833333333239      8          1    2    3    4    8    8    5    6    7    
115        0.008012262244826866   791.0000000000068      7          1    2    3    4    6    6    5    7    7    
327        0.022782693513551174   685.4444444444478      7          6    6    1    2    3    4    5    7    7    
3          2.090155368215704E-4   419.91666666667015     6          5    5    1    5    2    3    4    6    6    
251        0.017487633247404724   332.6944444444447      7          6    6    1    2    7    7    3    4    5    
81         0.005643419494182401   181.02777777777803     5          4    4    4    4    1    2    3    5    5    
28         0.0019508116770013237  109.27777777777797     8          1    2    8    8    3    4    5    6    7    
3          2.090155368215704E-4   108.72222222222237     6          1    4    4    2    5    5    3    6    6    
63         0.004389326273252978   87.30555555555551      7          1    2    6    6    3    4    5    7    7    
60         0.0041803107364314085  86.86111111111113      5          4    4    4    4    5    5    1    2    3    
1          6.967184560719014E-5   67.94444444444437      6          5    1    5    5    2    3    4    6    6    
1          6.967184560719014E-5   65.36111111111104      6          1    5    5    5    2    3    4    6    6    
22         0.001532780603358183   27.52777777777778      6          5    5    5    1    6    6    2    3    4    
14         9.754058385006619E-4   21.416666666666664     9          1    2    3    4    5    6    7    8    9    
1          6.967184560719014E-5   20.722222222222214     7          6    1    2    6    3    4    5    7    7    
14         9.754058385006619E-4   16.75                  5          3    3    1    3    4    4    2    5    5    
10         6.967184560719013E-4   10.972222222222221     4          1    1    2    2    3    3    4    4    4    
2          1.3934369121438027E-4  8.694444444444445      7          6    1    6    2    3    4    5    7    7    
5          3.4835922803595065E-4  6.833333333333333      5          1    3    3    3    4    4    2    5    5    
1          6.967184560719014E-5   6.805555555555556      7          6    1    6    2    7    7    3    4    5    
1          6.967184560719014E-5   6.805555555555555      5          2    3    2    3    4    4    1    5    5    
4          2.7868738242876054E-4  6.777777777777778      6          4    1    4    2    5    5    3    6    6    
5          3.4835922803595065E-4  5.0                    6          6    6    6    6    1    2    3    4    5    
1          6.967184560719014E-5   1.9166666666666665     6          5    1    5    5    6    6    2    3    4    
1          6.967184560719014E-5   1.0                    5          3    3    1    2    4    4    5    5    5    
1          6.967184560719014E-5   1.0                    6          4    5    4    5    6    6    1    2    3    
1          6.967184560719014E-5   1.0                    5          2    3    3    2    4    4    1    5    5    

