count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
11595      0.5096479275636235     18653.277777780208     5          2    2    3    3    4    4    1    5    5    
1418       0.062326930684365525   5706.6944444446435     4          1    1    2    2    3    3    4    4    4    
3332       0.14645510087468683    5695.305555555526      6          4    4    5    5    1    2    3    6    6    
466        0.020482616148740716   3083.888888888732      3          1    1    1    1    2    2    3    3    3    
2323       0.10210540196035339    2971.833333333303      4          2    2    2    2    3    3    1    4    4    
516        0.02268032174409916    2208.999999999979      6          1    2    4    4    5    5    3    6    6    
169        0.007428244912311547   1228.3055555555413     7          6    6    1    2    3    4    5    7    7    
643        0.028262493956309614   1123.6666666666638     4          1    1    2    2    3    3    3    4    4    
93         0.004087732407366709   968.7222222222184      6          4    4    5    5    6    6    1    2    3    
252        0.011076436200606566   751.9999999999974      7          1    2    6    6    3    4    5    7    7    
42         0.0018460727001010945  744.6666666666672      8          1    2    3    4    5    6    7    8    8    
64         0.0028130631620588106  723.722222222222       7          6    6    7    7    1    2    3    4    5    
248        0.01090061975297789    632.2499999999999      5          3    3    4    4    1    2    5    5    5    
173        0.007604061359940222   559.8888888888904      3          1    1    1    1    2    2    2    3    3    
25         0.0010988527976792228  485.4166666666709      5          3    3    1    2    4    4    5    5    5    
382        0.016790470748538525   483.3611111111118      6          4    4    1    2    5    5    3    6    6    
408        0.017933277658124917   473.1111111111116      5          4    4    4    4    1    2    3    5    5    
38         0.0016702562524724188  153.9722222222223      7          1    2    3    4    6    6    5    7    7    
144        0.006329392114632324   146.91666666666669     3          1    1    2    2    3    3    3    3    3    
92         0.00404377829545954    92.0                   2          1    1    1    1    2    2    2    2    2    
15         6.593116786075338E-4   64.11111111111106      6          1    2    5    5    3    4    6    6    6    
56         0.002461430266801459   61.722222222222214     4          2    2    3    3    4    4    1    4    4    
1          4.3954111907168915E-5  55.33333333333328      5          4    4    4    1    2    3    5    5    5    
4          1.7581644762867566E-4  50.63888888888884      5          3    3    4    4    5    5    5    1    2    
38         0.0016702562524724188  50.1111111111111       5          1    2    3    3    4    4    5    5    5    
41         0.0018021185881939255  49.24999999999999      4          3    3    3    3    1    2    4    4    4    
15         6.593116786075338E-4   43.83333333333331      5          1    2    3    3    4    4    4    5    5    
14         6.153575667003648E-4   32.361111111111114     5          3    3    1    2    4    4    4    5    5    
26         0.0011428069095863918  26.916666666666664     3          2    2    2    2    3    3    1    3    3    
3          1.3186233572150675E-4  23.38888888888889      8          8    8    1    2    3    4    5    6    7    
14         6.153575667003648E-4   18.666666666666668     5          1    3    3    3    4    4    2    5    5    
9          3.9558700716452026E-4  18.361111111111107     5          3    3    3    1    4    4    2    5    5    
9          3.9558700716452026E-4  18.249999999999996     5          2    2    3    3    4    1    4    5    5    
10         4.3954111907168914E-4  17.666666666666664     5          4    4    4    4    5    5    1    2    3    
11         4.834952309788581E-4   17.61111111111111      5          3    1    3    3    4    4    2    5    5    
6          2.637246714430135E-4   17.361111111111107     7          6    6    1    2    7    7    3    4    5    
3          1.3186233572150675E-4  11.416666666666666     5          3    3    1    3    4    4    2    5    5    
3          1.3186233572150675E-4  10.5                   6          1    2    3    4    5    5    6    6    6    
3          1.3186233572150675E-4  8.777777777777779      7          1    2    6    6    7    7    3    4    5    
6          2.637246714430135E-4   7.888888888888889      6          6    6    6    6    1    2    3    4    5    
3          1.3186233572150675E-4  7.611111111111112      5          2    2    3    3    1    4    4    5    5    
2          8.790822381433783E-5   6.833333333333334      9          1    2    3    4    5    6    7    8    9    
3          1.3186233572150675E-4  6.666666666666667      6          5    1    5    5    2    3    4    6    6    
6          2.637246714430135E-4   6.0                    6          5    5    1    2    3    4    6    6    6    
3          1.3186233572150675E-4  5.75                   6          5    5    1    5    2    3    4    6    6    
3          1.3186233572150675E-4  4.861111111111112      8          1    2    8    8    3    4    5    6    7    
1          4.3954111907168915E-5  4.666666666666666      6          1    5    5    5    2    3    4    6    6    
3          1.3186233572150675E-4  3.9444444444444446     5          1    2    4    4    5    5    3    5    5    
3          1.3186233572150675E-4  3.9166666666666665     6          5    5    5    1    2    3    4    6    6    
1          4.3954111907168915E-5  3.833333333333333      4          3    1    3    3    4    4    2    4    4    
2          8.790822381433783E-5   2.9444444444444446     4          3    3    1    2    4    4    4    4    4    
1          4.3954111907168915E-5  1.9444444444444444     4          2    2    2    2    1    3    3    4    4    
1          4.3954111907168915E-5  1.9166666666666665     8          1    2    3    4    8    8    5    6    7    
1          4.3954111907168915E-5  1.0                    3          2    2    2    2    3    1    3    3    3    
1          4.3954111907168915E-5  1.0                    4          1    2    2    2    3    3    3    4    4    
1          4.3954111907168915E-5  1.0                    4          2    2    2    1    3    3    3    4    4    
1          4.3954111907168915E-5  1.0                    5          4    4    1    2    5    5    3    5    5    
1          4.3954111907168915E-5  1.0                    4          2    2    2    2    3    1    3    4    4    
1          4.3954111907168915E-5  1.0                    4          2    1    2    2    3    3    4    4    4    
1          4.3954111907168915E-5  1.0                    4          1    2    3    3    4    4    4    4    4    
1          4.3954111907168915E-5  1.0                    5          3    3    4    4    1    5    2    5    5    
1          4.3954111907168915E-5  1.0                    7          1    2    3    4    5    6    6    7    7    

