count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
8718       0.39066140885463346    15276.80555555786      3          1    1    1    1    2    2    3    3    3    
6932       0.310629145008066      7487.694444444399      4          2    2    2    2    3    3    1    4    4    
1528       0.06847105215988529    2920.1388888887977     4          1    1    2    2    3    3    4    4    4    
2623       0.11753898548126905    2623.0                 2          1    1    1    1    2    2    2    2    2    
1473       0.0660064527693135     1577.805555555552      5          2    2    3    3    4    4    1    5    5    
575        0.025766266355977775   586.9166666666666      3          1    1    1    1    2    2    2    3    3    
263        0.011785266176734182   263.0                  3          1    1    2    2    3    3    3    3    3    
110        0.004929198781143574   110.0                  4          1    1    2    2    3    3    3    4    4    
68         0.0030471410647069366  68.0                   3          2    2    2    2    3    3    1    3    3    
11         4.929198781143575E-4   12.88888888888889      5          4    4    4    4    5    5    1    2    3    
12         5.377307761247536E-4   12.0                   4          2    2    3    3    4    4    1    4    4    
2          8.962179602079225E-5   2.0                    5          4    4    4    4    1    2    3    5    5    
1          4.4810898010396126E-5  1.0                    5          3    3    4    4    1    2    5    5    5    

