count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
3609       0.2713125845737483     8296.277777777386      4          2    2    2    2    3    3    1    4    4    
4451       0.3346113366411066     4451.0                 3          1    1    1    1    2    2    3    3    3    
4279       0.32168095023304766    4279.0                 2          1    1    1    1    2    2    2    2    2    
512        0.038490452563524284   512.0                  3          1    1    1    1    2    2    2    3    3    
390        0.02931889941362201    390.0                  3          2    2    2    2    3    3    1    3    3    
57         0.004285069914298602   57.0                   1          1    1    1    1    1    1    1    1    1    
3          2.255299954894001E-4   3.0                    4          1    1    2    2    3    3    4    4    4    
1          7.517666516313337E-5   1.0                    3          1    1    2    2    3    3    3    3    3    

