count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
3455       0.2163025104864459     11516.833333334245     3          1    1    1    1    2    2    3    3    3    
5762       0.3607337381831841     9660.777777778309      4          2    2    2    2    3    3    1    4    4    
1222       0.07650410066988042    3243.4444444443257     5          4    4    4    4    1    2    3    5    5    
148        0.009265635760345583   3055.6944444443207     4          2    2    2    2    3    3    4    1    4    
399        0.024979653164715458   3033.6944444443347     6          6    6    6    6    1    2    3    4    5    
848        0.05308958868089902    2225.4444444443957     5          2    2    3    3    4    4    1    5    5    
975        0.061040505853627997   1837.7500000000084     5          4    4    4    4    5    5    1    2    3    
79         0.004945846115319602   1415.2222222222138     6          4    4    1    2    5    5    3    6    6    
411        0.025730920929067803   983.6111111111028      4          1    1    2    2    3    3    4    4    4    
246        0.015400989169223065   812.6944444444434      6          4    4    5    5    1    2    3    6    6    
677        0.04238402303887811    757.6388888888881      3          1    1    1    1    2    2    2    3    3    
183        0.011456833406373254   526.1388888888904      6          4    4    5    5    6    6    1    2    3    
300        0.018781694108808613   443.4166666666678      4          3    3    3    3    1    2    4    4    4    
23         0.001439929881675327   294.19444444444554     7          6    6    1    2    3    4    5    7    7    
89         0.005571902585613222   273.6388888888895      5          3    3    3    1    4    4    2    5    5    
102        0.006385775996994929   269.416666666667       7          6    6    7    7    1    2    3    4    5    
245        0.015338383522193702   246.83333333333334     2          1    1    1    1    2    2    2    2    2    
64         0.004006761409879171   195.00000000000017     5          3    3    1    3    4    4    2    5    5    
81         0.005071057409378326   185.97222222222226     4          2    2    2    2    3    3    4    4    1    
37         0.0023164089400863957  174.61111111111128     6          5    5    5    1    2    3    4    6    6    
29         0.0018155637638514995  167.9444444444444      5          2    2    3    3    4    4    5    1    5    
33         0.0020659863519689476  138.11111111111128     6          5    5    5    1    6    6    2    3    4    
24         0.0015025355287046891  124.75000000000018     7          6    6    1    2    7    7    3    4    5    
13         8.138734113817066E-4   115.88888888888904     4          2    2    2    2    1    3    3    4    4    
43         0.002692042822262568   109.55555555555556     5          3    3    4    4    1    2    5    5    5    
22         0.001377324234645965   104.69444444444447     4          2    2    1    2    3    3    4    4    4    
83         0.00519626870343705    100.08333333333337     4          1    1    2    2    3    3    3    4    4    
17         0.001064295999499155   98.24999999999997      6          5    5    1    5    6    6    2    3    4    
16         0.0010016903524697927  96.72222222222226      5          2    2    3    3    4    4    5    5    1    
37         0.0023164089400863957  82.13888888888887      4          2    2    2    1    3    3    4    4    4    
14         8.764790584110687E-4   67.52777777777773      8          8    8    1    2    3    4    5    6    7    
57         0.0035685218806736367  64.41666666666666      4          3    3    3    3    4    4    4    1    2    
26         0.0016277468227634132  64.36111111111107      6          5    5    1    5    2    3    4    6    6    
3          1.8781694108808614E-4  55.24999999999996      3          2    2    2    2    3    3    3    3    1    
23         0.001439929881675327   54.94444444444441      5          4    4    4    4    1    2    5    3    5    
23         0.001439929881675327   42.80555555555554      5          3    3    1    2    4    4    5    5    5    
21         0.001314718587616603   37.833333333333336     7          7    7    7    1    2    3    4    5    6    
5          3.1302823514681025E-4  31.888888888888896     5          4    4    1    4    2    3    5    5    5    
25         0.0015651411757340512  31.500000000000004     5          4    4    4    4    1    2    5    5    3    
10         6.260564702936205E-4   24.833333333333336     6          5    5    1    2    3    4    6    6    6    
11         6.886621173229825E-4   20.416666666666664     7          7    7    1    7    2    3    4    5    6    
3          1.8781694108808614E-4  18.055555555555554     5          3    3    1    2    4    4    4    5    5    
3          1.8781694108808614E-4  16.944444444444443     5          3    3    3    1    4    4    5    5    2    
12         7.512677643523446E-4   16.75                  3          1    1    2    2    3    3    3    3    3    
2          1.2521129405872408E-4  13.22222222222222      7          6    6    1    2    3    4    7    7    5    
6          3.756338821761723E-4   12.527777777777777     6          4    4    5    5    1    2    6    3    6    
4          2.5042258811744817E-4  11.36111111111111      5          4    4    4    1    2    3    5    5    5    
11         6.886621173229825E-4   11.0                   3          2    2    2    2    3    3    1    3    3    
7          4.3823952920553436E-4  8.88888888888889       5          3    3    3    1    4    4    5    2    5    
7          4.3823952920553436E-4  8.833333333333334      5          3    3    4    4    5    5    5    1    2    
2          1.2521129405872408E-4  7.638888888888889      5          3    3    1    3    4    4    5    5    2    
1          6.260564702936204E-5   6.777777777777778      5          4    4    4    4    5    1    5    2    3    
1          6.260564702936204E-5   5.861111111111112      6          5    5    1    5    2    3    6    4    6    
2          1.2521129405872408E-4  5.666666666666667      5          4    4    4    4    1    5    5    2    3    
5          3.1302823514681025E-4  5.0                    5          3    3    1    3    4    4    5    2    5    
4          2.5042258811744817E-4  4.972222222222222      4          2    2    2    1    3    3    3    4    4    
4          2.5042258811744817E-4  4.916666666666667      6          4    4    5    5    1    2    6    6    3    
1          6.260564702936204E-5   4.666666666666666      4          1    1    2    2    3    3    4    4    3    
4          2.5042258811744817E-4  4.0                    4          2    2    2    2    3    1    3    4    4    
3          1.8781694108808614E-4  3.9444444444444446     4          3    3    1    2    4    4    4    4    4    
1          6.260564702936204E-5   3.833333333333333      3          2    2    2    1    3    3    3    3    3    
3          1.8781694108808614E-4  3.0                    4          2    2    1    2    3    3    3    4    4    
1          6.260564702936204E-5   1.9166666666666665     5          3    3    4    4    5    5    1    5    2    
1          6.260564702936204E-5   1.0                    5          4    4    4    1    5    5    5    2    3    
1          6.260564702936204E-5   1.0                    5          2    2    3    3    1    4    4    5    5    
1          6.260564702936204E-5   1.0                    4          2    2    3    3    4    4    1    4    4    
1          6.260564702936204E-5   1.0                    6          5    5    5    1    2    3    6    4    6    
1          6.260564702936204E-5   1.0                    3          2    2    1    2    3    3    3    3    3    

