count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
5584       0.3495899330119577     15192.555555558021     9          1    2    3    4    5    6    7    8    9    
476        0.029800287985976334   9559.25000000113       7          6    6    1    2    3    4    5    7    7    
3774       0.23627371188881238    9258.083333333881      8          8    8    1    2    3    4    5    6    7    
174        0.010893382583108997   9035.472222222928      7          1    2    6    6    7    7    3    4    5    
1392       0.08714706066487198    5069.666666666666      8          1    2    8    8    3    4    5    6    7    
372        0.02328930069492268    5006.444444444291      8          1    2    3    4    8    8    5    6    7    
1691       0.10586614912665122    3857.944444444315      7          6    6    7    7    1    2    3    4    5    
95         0.005947536467789395   2129.4722222221517     6          4    4    1    2    5    5    3    6    6    
444        0.02779690728103675    1980.5833333333371     7          6    6    1    2    7    7    3    4    5    
145        0.009077818819257497   1593.027777777754      7          1    2    6    6    3    4    5    7    7    
348        0.021786765166217994   1196.6111111111038     6          4    4    5    5    6    6    1    2    3    
354        0.022162399048394166   1099.1388888888864     8          1    2    3    4    5    6    7    8    8    
25         0.0015651411757340512  953.2499999999883      7          6    6    1    2    3    4    7    7    5    
10         6.260564702936205E-4   919.0555555555445      7          1    2    6    6    3    4    7    7    5    
9          5.634508232642585E-4   901.8055555555453      6          1    2    5    5    3    4    6    6    6    
392        0.024541413635509924   741.0555555555544      6          4    4    5    5    1    2    3    6    6    
5          3.1302823514681025E-4  705.0833333333319      5          2    2    3    3    4    4    5    5    1    
50         0.0031302823514681023  682.333333333333       7          1    2    3    4    6    6    5    7    7    
24         0.0015025355287046891  649.0555555555587      8          1    2    3    4    5    6    8    7    8    
40         0.002504225881174482   631.3055555555555      7          6    6    1    2    3    4    7    5    7    
133        0.008326551054905153   324.4166666666674      5          2    2    3    3    4    4    1    5    5    
32         0.0020033807049395854  245.72222222222183     5          3    3    4    4    5    5    5    1    2    
32         0.0020033807049395854  171.5833333333336      6          5    5    1    2    3    4    6    6    6    
6          3.756338821761723E-4   151.19444444444449     7          6    6    1    2    7    3    7    4    5    
11         6.886621173229825E-4   138.02777777777794     5          2    2    3    3    4    4    5    1    5    
39         0.0024416202341451198  128.13888888888903     6          1    2    4    4    5    5    3    6    6    
36         0.002253803293057034   113.30555555555559     5          3    3    4    4    1    2    5    5    5    
11         6.886621173229825E-4   110.97222222222227     6          4    4    1    2    5    5    6    3    6    
20         0.001252112940587241   96.41666666666669      8          1    2    3    4    5    6    8    8    7    
19         0.001189507293557879   92.94444444444444      6          4    4    5    5    1    2    6    3    6    
3          1.8781694108808614E-4  92.63888888888889      8          1    2    3    4    8    5    8    6    7    
14         8.764790584110687E-4   90.97222222222219      5          3    3    1    2    4    4    5    5    5    
23         0.001439929881675327   87.52777777777781      6          5    5    1    2    6    6    6    3    4    
16         0.0010016903524697927  70.5833333333333       7          1    2    6    6    3    4    7    5    7    
7          4.3823952920553436E-4  70.05555555555549      8          1    8    8    2    3    4    5    6    7    
3          1.8781694108808614E-4  56.63888888888884      7          1    2    6    6    7    3    7    4    5    
3          1.8781694108808614E-4  54.611111111111065     5          2    2    3    3    1    4    4    5    5    
5          3.1302823514681025E-4  51.24999999999995      8          1    2    3    4    5    8    8    6    7    
3          1.8781694108808614E-4  46.4722222222222       6          4    4    1    2    5    5    6    6    3    
20         0.001252112940587241   44.97222222222221      4          1    1    2    2    3    3    4    4    4    
13         8.138734113817066E-4   41.77777777777776      4          1    1    2    2    3    3    3    4    4    
3          1.8781694108808614E-4  32.77777777777777      7          1    2    3    4    6    6    7    5    7    
9          5.634508232642585E-4   30.416666666666675     7          1    2    3    4    7    7    7    5    6    
8          5.008451762348963E-4   30.305555555555554     6          4    4    5    5    1    2    6    6    3    
3          1.8781694108808614E-4  25.194444444444446     8          8    1    8    2    3    4    5    6    7    
1          6.260564702936204E-5   24.13888888888889      5          2    2    3    3    4    1    4    5    5    
10         6.260564702936205E-4   24.083333333333336     7          7    7    7    1    2    3    4    5    6    
5          3.1302823514681025E-4  23.94444444444444      7          6    6    1    2    3    7    7    4    5    
8          5.008451762348963E-4   22.944444444444443     7          1    2    3    4    5    6    7    7    7    
4          2.5042258811744817E-4  22.52777777777777      6          4    4    5    5    6    1    6    2    3    
3          1.8781694108808614E-4  22.13888888888888      6          5    5    5    1    2    3    4    6    6    
7          4.3823952920553436E-4  21.027777777777775     7          7    7    1    7    2    3    4    5    6    
4          2.5042258811744817E-4  20.999999999999996     7          1    2    6    6    3    7    7    4    5    
4          2.5042258811744817E-4  20.555555555555554     6          1    2    4    4    5    5    6    3    6    
4          2.5042258811744817E-4  16.083333333333332     6          1    2    5    5    6    6    6    3    4    
3          1.8781694108808614E-4  14.972222222222218     5          3    3    1    2    4    4    4    5    5    
1          6.260564702936204E-5   13.22222222222222      7          6    1    2    6    3    4    5    7    7    
1          6.260564702936204E-5   12.13888888888889      7          1    6    6    2    7    7    3    4    5    
4          2.5042258811744817E-4  11.416666666666668     8          8    1    2    8    3    4    5    6    7    
3          1.8781694108808614E-4  11.361111111111112     7          1    2    3    4    6    6    7    7    5    
7          4.3823952920553436E-4  10.722222222222223     6          4    4    5    5    1    6    6    2    3    
3          1.8781694108808614E-4  10.527777777777777     6          5    5    5    1    6    6    2    3    4    
2          1.2521129405872408E-4  8.63888888888889       5          1    2    3    3    4    4    5    5    5    
1          6.260564702936204E-5   7.527777777777779      6          4    5    5    4    6    6    1    2    3    
1          6.260564702936204E-5   7.444444444444445      5          1    2    3    3    4    4    4    5    5    
1          6.260564702936204E-5   5.666666666666667      5          3    3    1    3    4    4    2    5    5    
1          6.260564702936204E-5   5.638888888888889      6          5    5    1    5    2    3    4    6    6    
4          2.5042258811744817E-4  4.916666666666666      6          1    2    3    4    5    5    6    6    6    
1          6.260564702936204E-5   3.8888888888888893     6          4    4    1    2    3    5    5    6    6    
2          1.2521129405872408E-4  3.888888888888889      7          1    2    3    4    5    6    6    7    7    
3          1.8781694108808614E-4  3.0                    5          3    3    3    1    4    4    2    5    5    
2          1.2521129405872408E-4  2.9722222222222223     7          7    1    7    7    2    3    4    5    6    
1          6.260564702936204E-5   2.9166666666666665     5          4    4    1    4    2    3    5    5    5    
1          6.260564702936204E-5   2.833333333333333      6          5    5    1    5    2    3    6    4    6    
1          6.260564702936204E-5   1.9166666666666665     5          4    4    4    4    1    2    5    5    3    
1          6.260564702936204E-5   1.0                    8          1    8    2    8    3    4    5    6    7    
1          6.260564702936204E-5   1.0                    4          2    2    1    2    3    3    4    4    4    
1          6.260564702936204E-5   1.0                    6          1    2    4    4    3    5    5    6    6    
1          6.260564702936204E-5   1.0                    6          5    1    5    5    2    3    6    6    4    

