count      fraction               similarity             nclusters  d1   d2   e1   e2   x1   x2   y1   z1   z2   
918        0.05747198397295436    14585.750000003109     7          6    6    1    2    3    4    5    7    7    
1075       0.0673010705565642     13831.027777780739     6          4    4    5    5    6    6    1    2    3    
161        0.010079509171727289   13303.361111112372     8          1    2    3    4    5    6    7    8    8    
4115       0.2576222375258248     13021.250000001954     8          8    8    1    2    3    4    5    6    7    
936        0.05859888561948288    8690.500000000044      7          6    6    1    2    7    7    3    4    5    
3580       0.22412821636511612    8128.916666666934      7          6    6    7    7    1    2    3    4    5    
1128       0.0706191698491204     3796.388888888719      6          4    4    5    5    1    2    3    6    6    
548        0.0343078945720904     3519.805555555407      5          2    2    3    3    4    4    1    5    5    
649        0.04063106492205597    2493.4722222221476     8          1    2    8    8    3    4    5    6    7    
1018       0.06373254867589057    2228.805555555533      9          1    2    3    4    5    6    7    8    9    
78         0.0048832404682902395  1708.6944444444052     5          3    3    4    4    1    2    5    5    5    
313        0.019595567520190323   1159.1666666666617     6          4    4    1    2    5    5    3    6    6    
24         0.0015025355287046891  1070.30555555555       6          4    4    1    2    5    5    6    3    6    
35         0.0021911976460276717  848.8333333333273      7          6    6    1    2    3    4    7    7    5    
37         0.0023164089400863957  706.083333333331       6          4    4    5    5    1    2    6    6    3    
7          4.3823952920553436E-4  665.7222222222247      7          1    2    6    6    3    4    7    7    5    
149        0.009328241407374946   661.8055555555567      7          1    2    6    6    3    4    5    7    7    
63         0.003944155762849809   620.2777777777784      4          1    1    2    2    3    3    4    4    4    
142        0.00889000187816941    605.1666666666666      8          1    2    3    4    8    8    5    6    7    
20         0.001252112940587241   555.6666666666698      5          2    2    3    3    4    4    5    5    1    
64         0.004006761409879171   404.7222222222242      7          6    6    1    2    3    4    7    5    7    
66         0.004131972703937895   366.13888888889016     5          3    3    4    4    5    5    5    1    2    
7          4.3823952920553436E-4  340.63888888889        6          4    4    5    5    6    1    6    2    3    
60         0.003756338821761723   334.6388888888895      6          4    4    5    5    1    2    6    3    6    
40         0.002504225881174482   317.3333333333348      7          1    2    3    4    6    6    5    7    7    
144        0.009015213172228136   312.36111111111177     7          1    2    6    6    7    7    3    4    5    
10         6.260564702936205E-4   290.3333333333336      7          6    6    1    2    3    7    7    4    5    
8          5.008451762348963E-4   273.61111111111103     8          1    8    8    2    3    4    5    6    7    
5          3.1302823514681025E-4  267.61111111111074     7          6    6    1    2    7    3    7    4    5    
29         0.0018155637638514995  255.80555555555543     5          3    3    1    2    4    4    5    5    5    
8          5.008451762348963E-4   166.05555555555563     5          1    2    3    3    4    4    5    5    5    
1          6.260564702936204E-5   166.05555555555543     7          1    6    6    2    3    4    5    7    7    
45         0.0028172541163212924  154.25000000000003     6          1    2    4    4    5    5    3    6    6    
37         0.0023164089400863957  119.44444444444451     6          5    5    1    2    6    6    6    3    4    
12         7.512677643523446E-4   108.22222222222238     6          5    5    5    1    2    3    4    6    6    
53         0.0033180992925561886  105.22222222222226     6          5    5    1    2    3    4    6    6    6    
65         0.004069367056908533   104.80555555555559     7          7    7    7    1    2    3    4    5    6    
37         0.0023164089400863957  86.0                   5          2    2    3    3    4    4    5    1    5    
39         0.0024416202341451198  83.47222222222226      7          7    7    1    7    2    3    4    5    6    
1          6.260564702936204E-5   70.99999999999994      5          2    2    3    3    4    1    4    5    5    
9          5.634508232642585E-4   70.55555555555553      5          2    2    3    3    1    4    4    5    5    
8          5.008451762348963E-4   58.86111111111105      8          1    2    3    4    5    6    8    7    8    
29         0.0018155637638514995  57.58333333333329      4          1    1    2    2    3    3    3    4    4    
6          3.756338821761723E-4   54.499999999999936     8          1    2    3    4    5    6    8    8    7    
10         6.260564702936205E-4   54.02777777777774      5          3    3    1    2    4    4    4    5    5    
3          1.8781694108808614E-4  52.94444444444441      7          1    2    6    6    7    3    7    4    5    
7          4.3823952920553436E-4  44.49999999999998      6          1    2    5    5    3    4    6    6    6    
1          6.260564702936204E-5   44.33333333333331      7          1    2    3    4    6    6    7    7    5    
16         0.0010016903524697927  44.02777777777776      6          5    5    5    1    6    6    2    3    4    
4          2.5042258811744817E-4  38.44444444444444      8          8    1    2    8    3    4    5    6    7    
13         8.138734113817066E-4   38.27777777777777      6          5    5    1    5    2    3    4    6    6    
5          3.1302823514681025E-4  37.61111111111111      6          1    2    3    4    5    5    6    6    6    
17         0.001064295999499155   34.58333333333333      6          4    4    5    5    1    6    6    2    3    
9          5.634508232642585E-4   30.333333333333332     7          1    2    6    6    3    4    7    5    7    
3          1.8781694108808614E-4  26.000000000000004     7          6    1    2    6    3    4    5    7    7    
1          6.260564702936204E-5   24.000000000000004     6          5    5    5    1    2    3    6    6    4    
13         8.138734113817066E-4   23.111111111111114     6          4    4    1    2    5    5    6    6    3    
10         6.260564702936205E-4   19.361111111111107     6          6    6    6    6    1    2    3    4    5    
4          2.5042258811744817E-4  18.805555555555554     7          7    1    7    7    2    3    4    5    6    
4          2.5042258811744817E-4  17.13888888888889      7          1    2    3    4    7    7    7    5    6    
1          6.260564702936204E-5   15.888888888888888     6          1    4    4    2    5    5    3    6    6    
8          5.008451762348963E-4   15.33333333333333      7          1    2    3    4    5    6    7    7    7    
8          5.008451762348963E-4   14.583333333333332     6          5    5    1    5    6    6    2    3    4    
1          6.260564702936204E-5   12.055555555555555     6          5    5    5    1    2    3    6    4    6    
4          2.5042258811744817E-4  11.416666666666666     6          1    2    5    5    6    6    6    3    4    
2          1.2521129405872408E-4  11.222222222222221     8          8    1    8    2    3    4    5    6    7    
1          6.260564702936204E-5   11.166666666666666     8          1    2    3    4    8    5    8    6    7    
7          4.3823952920553436E-4  10.666666666666666     5          3    3    3    1    4    4    2    5    5    
2          1.2521129405872408E-4  10.333333333333332     6          4    4    1    2    5    3    5    6    6    
2          1.2521129405872408E-4  9.36111111111111       5          3    3    1    3    4    4    2    5    5    
2          1.2521129405872408E-4  9.36111111111111       5          4    4    4    1    5    5    5    2    3    
2          1.2521129405872408E-4  8.555555555555555      3          1    1    1    1    2    2    3    3    3    
2          1.2521129405872408E-4  7.638888888888889      7          1    2    3    4    6    6    7    5    7    
1          6.260564702936204E-5   6.555555555555555      6          1    2    4    4    5    5    6    6    3    
2          1.2521129405872408E-4  5.805555555555556      4          2    2    2    2    3    3    1    4    4    
2          1.2521129405872408E-4  5.777777777777778      6          4    4    1    2    3    5    5    6    6    
1          6.260564702936204E-5   5.638888888888889      6          4    5    5    4    6    6    1    2    3    
3          1.8781694108808614E-4  4.888888888888889      5          4    4    1    4    2    3    5    5    5    
1          6.260564702936204E-5   4.777777777777778      7          1    2    6    6    3    7    7    4    5    
2          1.2521129405872408E-4  4.777777777777778      6          1    2    4    4    5    5    6    3    6    
1          6.260564702936204E-5   3.888888888888889      7          1    2    3    4    5    6    6    7    7    
1          6.260564702936204E-5   3.8055555555555554     5          4    4    4    4    1    2    3    5    5    
1          6.260564702936204E-5   3.7777777777777777     5          1    2    3    3    4    4    4    5    5    
1          6.260564702936204E-5   3.7499999999999996     6          1    5    5    5    6    6    2    3    4    
1          6.260564702936204E-5   2.888888888888889      4          2    2    2    2    3    3    4    4    1    
1          6.260564702936204E-5   2.888888888888889      5          3    1    3    3    4    4    5    2    5    
1          6.260564702936204E-5   2.861111111111111      8          1    2    3    4    5    8    8    6    7    
1          6.260564702936204E-5   2.8611111111111107     7          6    7    7    6    1    2    3    4    5    
1          6.260564702936204E-5   2.833333333333333      6          4    5    4    5    1    2    6    3    6    
1          6.260564702936204E-5   1.9444444444444444     5          4    4    1    4    5    5    5    2    3    
1          6.260564702936204E-5   1.9444444444444444     6          5    1    5    5    2    3    6    4    6    
1          6.260564702936204E-5   1.9166666666666665     5          4    4    4    1    2    3    5    5    5    
1          6.260564702936204E-5   1.0                    4          2    2    1    2    3    3    4    4    4    
1          6.260564702936204E-5   1.0                    4          3    3    3    3    1    2    4    4    4    
1          6.260564702936204E-5   1.0                    6          5    5    1    5    6    2    6    3    4    
1          6.260564702936204E-5   1.0                    6          1    2    4    4    3    5    5    6    6    
1          6.260564702936204E-5   1.0                    6          5    5    5    1    6    2    6    3    4    
1          6.260564702936204E-5   1.0                    5          4    4    4    4    5    5    1    2    3    
1          6.260564702936204E-5   1.0                    7          6    1    2    6    3    4    7    5    7    
1          6.260564702936204E-5   1.0                    5          4    4    1    2    5    5    5    5    3    

